,logFC,logCPM,F,PValue,FDR
SERPINB10,2.005338499196351,3.2055936195337353,28.44843621106178,2.026150953804782e-06,0.02560244345227723
SERPINB2,2.0086259630129533,3.5900711597772186,24.724700007792094,7.316026574585856e-06,0.03524606945770795
SGK1,0.7593513037450113,4.791156800974319,24.597426431928447,8.368012691763522e-06,0.03524606945770795
AC010329.1,-1.4352364202977963,3.417739965010533,20.538454920072073,3.662331279344231e-05,0.11569304511448425
MUC5AC,1.9256820551538714,5.912095179540664,18.808916967837042,7.196406900190809e-05,0.15064418180200242
ATP12A,1.0611324669560527,3.8736447204355495,18.38321215027335,7.644460209641345e-05,0.15064418180200242
UPK1B,1.1536646002064241,2.278738738350841,17.67903457165814,0.00010429701722278278,0.15064418180200242
CYP2W1,-1.053074874847338,2.6314291959630385,17.689663308806136,0.0001059320258669985,0.15064418180200242
ZNF667,-1.191111892979079,1.9169776160842107,17.570093548910627,0.00010729642578490202,0.15064418180200242
KCNE3,0.6440710494903962,5.280285698855176,17.038129959855222,0.000140288239416807,0.16514597520077706
FAM3B,1.3780971911231126,3.3380355034242455,16.650315195881255,0.000150852437444921,0.16514597520077706
CLCA2,1.2720764450780564,1.633790045576553,16.607719976396712,0.00015683378461612256,0.16514597520077706
CTSC,0.6466608811957534,4.619147838085274,16.211794724706145,0.00018786834268277354,0.17451715420419467
SELPLG,0.6478449656634645,2.8969503185742593,16.0847317565793,0.00019335550481629674,0.17451715420419467
TNFRSF19,0.5162594662826726,6.327746695320601,15.835241212417793,0.00023004379060102712,0.1823999551259791
LINC01091,-0.647748213834725,5.506257576736587,15.752309870272637,0.00023095910747195832,0.1823999551259791
S100P,0.5973913759725554,7.2198703746083135,15.069040829035933,0.0003130310878840591,0.23267416626488063
RCN1,-0.44666987949260917,5.2980551637240945,14.648949423736584,0.00035705655159879785,0.2506536992223561
NAV1,0.6062588383105181,2.8620028435779123,14.187525866379408,0.000419683671816348,0.275539941325475
TFPI,-0.8565585169925837,3.0050109766099182,14.115293394343635,0.0004460853125916479,0.275539941325475
C16orf54,0.8315427605183082,4.132371774438585,13.982500732714527,0.0004579248787460411,0.275539941325475
TMEM189,0.4823414713916549,4.687101433596297,13.755623085404679,0.0005131826139579388,0.2862227981796385
KRT23,0.6455964461369571,6.208375431357306,13.755111681545255,0.0005343990941672423,0.2862227981796385
SRF,0.615988752401773,4.26833757844055,13.577771564719017,0.0005436330449755717,0.2862227981796385
TP53INP2,0.5220513250657687,5.168521294234959,13.52009961355666,0.0005777967424307198,0.2883992407324539
