,logFC,logCPM,F,PValue,FDR
SERPINB3,1.7769792348574331,6.8074979552778005,23.72088009225306,1.612548917980047e-05,0.09760758600533224
KRT23,0.7799621633651289,6.35792892075637,19.755482329738715,6.295820937554674e-05,0.18887635464879232
CTSC,0.9041484755477872,5.2381337885401384,18.61723286927796,9.361127770467156e-05,0.18887635464879232
MUC15,-0.492542644134488,7.985613996550769,15.670532135313419,0.00028414264668306634,0.4299788600931501
DHRS9,0.3580088212148307,8.504958864701576,13.473433769043716,0.0006747683836043166,0.5830406329554877
GOT1,0.6560280009460897,5.004075007553375,13.383075682600005,0.0006954403671742535,0.5830406329554877
S100P,0.7298647897061259,7.160666417978029,13.35276484924809,0.0007091507310884835,0.5830406329554877
MUC5AC,1.9936999354868477,6.617113525775413,12.972233119916748,0.0008278558569349243,0.5830406329554877
LYRM1,-0.6143762096311322,5.450595388906091,12.571118670740603,0.0009788270154072074,0.5830406329554877
MUC1,0.620653838763555,7.430445332624372,12.200705822216316,0.0011359423377050465,0.5830406329554877
CHMP1B,0.4865265523006231,5.627369300449396,11.93417841804031,0.0012703768253967684,0.5830406329554877
EEF1D,0.43475885924217694,7.574903336480885,11.699842818865534,0.001399675049136308,0.5830406329554877
ACADM,-0.4969353261803191,6.796706299313589,11.66680490598349,0.0014199949645937937,0.5830406329554877
PLEC,0.4846030803210956,5.928804499942955,11.563543580277981,0.0014843292361319945,0.5830406329554877
IGFBP2,-0.43952330633189324,10.257258138273663,11.238573022628396,0.0016997535056259702,0.5830406329554877
FXYD1,-0.7080726986712316,6.339813110749075,11.162774266204185,0.0017584416757303902,0.5830406329554877
RPL5,-0.3498329368064564,9.593727551626815,11.000403177541308,0.0018811181112266297,0.5830406329554877
VPS13D,0.8099816499448074,5.120668618636327,10.9263729091954,0.0019335757731153765,0.5830406329554877
GAK,0.4837885003298724,5.4612115578515175,10.903134907378174,0.001962718783777884,0.5830406329554877
MTMR6,-0.4632651255869563,5.476685502490204,10.835764021936406,0.002025195709912092,0.5830406329554877
TSPYL1,0.4266656709857469,6.289769287224225,10.664026073271195,0.002176183936704009,0.5830406329554877
RAD50,-0.41680860679918946,6.919051107630815,10.48909959008155,0.002344772268738832,0.5830406329554877
C8orf34,-0.7035846528397018,5.127667179738602,10.340167085027886,0.002508615547127901,0.5830406329554877
LAYN,-0.7292211266265921,5.325149914867744,10.325585812915524,0.0025250109621128116,0.5830406329554877
VAMP8,0.3389725218764975,9.048550010107187,10.204960696980741,0.0026506953397720705,0.5830406329554877
MCL1,0.42343724633134255,6.626537374272036,10.152747534161659,0.002714656268202983,0.5830406329554877
