,logFC,logCPM,F,PValue,FDR
EPAS1,1.4613804703976616,5.120665409552095,91.20146580641818,6.870245197199126e-16,5.959937708570242e-12
FABP5,1.2395446511662676,4.321321041402967,60.858238087912376,4.057678433367003e-12,1.7600180204729375e-08
FMO2,1.267397407670926,4.169584284018609,58.54533239213791,8.172802639582693e-12,2.3633020966126617e-08
SERPINB3,2.071093732852144,7.67386999919546,58.04055175988911,1.60756611304571e-11,3.486409007667884e-08
ADIRF,1.4074517910147337,5.142221695066619,52.293172422159806,8.42954064462504e-11,1.4625253018424446e-07
CD44,1.6405136418360622,3.507177201235633,50.630848886111345,1.213113463544249e-10,1.7539598827077266e-07
CTSC,0.9046395027664281,5.152179185690296,48.18501013365796,3.603275463045288e-10,4.465487805988268e-07
SLC38A2,0.8265243984041983,6.438286224130446,46.09764321947445,8.540683803909612e-10,9.261303999864485e-07
SLC12A2,0.8965866734618454,4.436828965424973,43.2054059917564,1.8134375912728621e-09,1.6204516460339723e-06
KRT5,1.4912805356475487,4.427321422291988,43.12153784641915,1.8693259431421844e-09,1.6204516460339723e-06
S100A14,1.0672830136642688,4.134277598980979,42.743694233079424,2.0547513667289563e-09,1.6204516460339723e-06
IER3,0.8736263500371305,5.7106641665222275,42.790726275210304,2.6031239475594665e-09,1.8818416870898643e-06
IFRD1,0.7301066422564646,5.4735400512326855,42.493917950421526,2.834067538410031e-09,1.89119506890054e-06
F3,1.0312063623367518,6.085180052000544,40.68612379693227,5.7082126479602236e-09,3.537053194361067e-06
PHKG1,1.3072976116945783,4.508591610621643,38.991595441393315,8.687854128939352e-09,5.0244756379032585e-06
C1orf56,1.146036087593425,4.734037073083108,38.63034705468898,1.0303242641065002e-08,5.586289369452431e-06
ERRFI1,0.7232654627566318,5.676893474191518,34.65964859724376,5.2669183791928076e-08,2.687677467029271e-05
DST,0.7730343587173184,5.318522930233588,34.24258795072647,5.967013144554374e-08,2.8757688349449553e-05
TSPAN8,1.1892355715760645,4.980287132228882,33.88335736304541,6.501819351679113e-08,2.968593835569279e-05
NTS,1.4225443591625393,5.580326280089796,32.50237995150937,1.1757390216199586e-07,5.0997680062765704e-05
FOSB,0.7559930350230206,7.492073269612304,32.52329122153934,1.2424710012310102e-07,5.13258854079953e-05
NAMPT,0.5873686045975187,6.218272875069566,32.3018841042724,1.3401480428225706e-07,5.2844473961299086e-05
S100A2,1.2101184484673082,6.166713670710711,31.940611545113942,1.525156959243993e-07,5.7524941832354945e-05
AC020916.1,0.6922235723188818,6.579631472700626,30.602673031519245,2.617782345495774e-07,9.12712394562192e-05
CXCL8,1.5721004081980585,5.182109747426328,30.34969367899595,2.630295085193637e-07,9.12712394562192e-05
PRSS23,0.7108357993411709,6.410818123053019,28.302374242486813,6.504798059955269e-07,0.0002170350891158152
HEXIM1,0.5935017135743407,5.560091916902167,27.62594827285376,8.297634676028822e-07,0.0002665999289427779
MIR205HG,0.8034708752489237,7.154740061833049,27.507030627565562,9.009649362623732e-07,0.00027913824364557454
TM4SF1,1.0510795408242128,4.049618903803597,26.40800018417128,1.2052443712523892e-06,0.0003605343076073957
GAS5,0.6753605165340392,6.449223232806035,26.567894870815152,1.3126080888749893e-06,0.00037956250569968445
TFRC,0.5237491075823281,5.1289790541414995,26.13323659363456,1.482727757511126e-06,0.00041492462246480697
SPARCL1,1.0786659371630132,4.097106439378467,25.793677381958336,1.5530353986103083e-06,0.00042101819009201326
IRS2,0.6591452287068664,5.380735674777586,25.856346376468508,1.6932934211261545e-06,0.0004434712959930287
ATP1B3,0.5895940832914688,5.010253701403604,25.730398994731537,1.7381007566297378e-06,0.0004434712959930287
PTPRZ1,0.6932661309469781,5.302550145239819,25.578254182262214,1.8839750740111403e-06,0.00046643930224112966
KRT15,1.1035286109285543,5.497290058672921,25.532823677030716,1.93565589402659e-06,0.00046643930224112966
DUSP6,0.7820207253384137,4.307722832492659,25.215526047713098,2.007677161932812e-06,0.00047071890215586874
VMP1,0.545655967854333,8.654795053072545,24.944887023445773,2.559331881978435e-06,0.0005842685283200769
GPRC5A,0.8569317551249133,5.299149344306084,24.239061102136702,3.295139735399218e-06,0.0007329573642202106
VMO1,1.0188167350462944,5.328332469029963,23.392598214034066,4.702323029975611e-06,0.0010100633897939415
S100A16,0.8275213943319787,4.126477399392056,23.16826444523041,4.7737866261154585e-06,0.0010100633897939415
SGK1,0.5786711493553438,4.948408977173063,22.970841798185173,5.520669131622427e-06,0.0011402810646862988
