,logFC,logCPM,F,PValue,FDR
CCL26,7.570314956787746,9.765228635438724,57.26433666505709,7.826134696467336e-06,0.022022743035859084
PIP,2.686660820061464,8.481542688160703,37.010300930388716,6.175735390210261e-05,0.07605476085600416
MMP7,2.87150105707368,8.23674859922284,34.83895307139895,8.108183460128375e-05,0.07605476085600416
CST1,5.633262107144908,8.839667403929552,32.8964869941601,0.0001477286580036916,0.09598335060892252
CCND2,1.3105274453199602,7.504415276461338,28.60332033996977,0.00019189130095005816,0.09598335060892252
KDELR2,-1.2074324132942689,7.0917718021813965,26.869025517787417,0.00024994200430578697,0.09598335060892252
HBEGF,1.5592152363017469,6.396714605033071,25.918347442729342,0.0002904436201706835,0.09598335060892252
TAGLN,-2.04947942185778,8.947623177079949,25.677605186411125,0.0003018916528582404,0.09598335060892252
SMAD5,1.2890609095832142,6.098791077644914,25.57395618172917,0.00030698299768312104,0.09598335060892252
CCN1,-1.005115387397756,9.339325956417916,24.567832961166083,0.00036202189132796507,0.10187296021968936
SUSD6,1.4698348746128773,5.980295744996925,23.08895111946417,0.00046545042101285144,0.1190706804300149
HLA-B,1.2368106175544051,10.28503137592742,21.99905237114199,0.0005642460956407614,0.13231570942775855
CTSC,1.1139993542438926,9.267726122321893,20.124069703088875,0.0007983121236709918,0.16183562483841793
B2M,0.840897149641375,11.827208655072985,19.982100892618963,0.0008202824200674754,0.16183562483841793
SQSTM1,1.1309322853693873,10.14476810016982,19.720448273176032,0.000862663245407345,0.16183562483841793
MT-ND6,1.475511505718719,9.483390295938817,19.000719356319824,0.0009931896097356116,0.16696086354312725
CCDC80,-1.4331468192032197,6.31487923346147,18.92289865389952,0.0010086477186329649,0.16696086354312725
GPCPD1,1.1061325263637944,6.331071099548566,17.634188278524725,0.001310779330918528,0.20491850206692988
ALOX15,3.384097011803808,7.4731371545100185,16.372417510152626,0.0017149048857266317,0.23476630682656965
MAP1B,-1.4510585268511669,6.275374569402356,16.317481215646847,0.001735596165925197,0.23476630682656965
ATP1B1,0.7688927828671759,8.938128875394899,16.274505590157627,0.0017519873643773855,0.23476630682656965
RPS27L,-0.8022006239527645,9.433495134693795,15.91197299047198,0.0018977511517616077,0.2380385333355463
SERPINE1,-1.1123120122416466,8.818729741789806,15.800079494203406,0.0019455885809230864,0.2380385333355463
ALG5,-1.091258672090405,6.0603307483052875,15.103260885585756,0.0022775552841981443,0.24015610003746496
IRF6,1.145777222173954,7.102080748489217,15.08906011772628,0.002284984083990589,0.24015610003746496
PSAP,0.8700431406514499,9.986072679599863,14.879088997099025,0.0023982226208597813,0.24015610003746496
SPART,1.063090584918207,5.962254229010758,14.825925783565678,0.002427933022365621,0.24015610003746496
MARCH5,-0.9926798565709086,6.485485253215276,14.74384969116524,0.002474656214717914,0.24015610003746496
NDUFA12,-0.7825512322764743,7.751828518340546,14.743328533281968,0.002474956254828175,0.24015610003746496
GPX2,1.9558193006108584,6.778257746521392,14.573781202578246,0.002574880636109837,0.24152380366710272
ITGB8,0.9073523235721875,7.118602338655414,14.2870477398827,0.002754887699597873,0.24381488156186762
PORCN,-1.071834014792846,7.027336276698109,14.120460340455292,0.002866264681743575,0.24381488156186762
DDX52,1.0348735764543049,6.008038468258126,13.89537141599688,0.0030252874736106,0.24381488156186762
TP53I3,-1.2352174662320523,7.530158619043267,13.89231650532953,0.003027516121911991,0.24381488156186762
IL1B,1.4800293060769105,6.424564068936476,13.767116157982239,0.0031205386560096615,0.24381488156186762
CTSA,0.777984348649538,7.053192906311414,13.658238239225645,0.0032041789331047473,0.24381488156186762
TGFBR2,0.8548921917761613,6.638407275337362,13.6561477991941,0.0032058104540828368,0.24381488156186762
IL1A,1.5976065931450851,6.175373138985794,13.510552589382756,0.0033218876985086276,0.24449850961923583
PRDX3,-0.9043287650595337,7.509905910992878,13.34128145927657,0.003463118429055207,0.24449850961923583
CD81,0.9078274864366106,6.716850654493591,13.213035354262383,0.00357484124923887,0.24449850961923583
HDGF,0.9717486235039791,6.629297242247493,13.13390529009422,0.0036458938368534436,0.24449850961923583
CXCL1,0.8438274707107167,9.9046188891603,13.112843358899257,0.0036650851897820453,0.24449850961923583
KPNA4,1.0987750674349013,6.286181328192313,13.036002214220286,0.0037361179508269868,0.24449850961923583
ADAM15,-0.8713329365592514,6.884322716196988,12.779047482770466,0.003985713615373393,0.24980107404310906
WBP1,-1.1632686223710056,6.42888054645888,12.770165338272044,0.003994686685124345,0.24980107404310906
IDO1,1.6510131020339827,5.943286577021962,12.666158568206985,0.004101549146113544,0.2509078108079025
SLC26A4,2.9306265080777774,6.626547314834874,12.574045645021593,0.00419901278419192,0.2514047228662992
FOSL2,0.9586647965860491,6.241498657342759,12.410472252976787,0.004378898182795683,0.2567129059663969
ATP5PO,-0.645822566019104,8.057998009610026,12.02439490842403,0.0048407408318806265,0.2722924173721429
IRAK3,1.1930419786089812,6.44691591131117,11.822245441634605,0.005105378479071637,0.2722924173721429
RND3,0.7279707855437052,8.329557256143083,11.813842643633018,0.005116742912115282,0.2722924173721429
IGFBP7,1.2460038471566568,9.000144885883907,11.799724917150119,0.0051359037659472586,0.2722924173721429
ZG16B,1.2471803480836638,6.6859735346096745,11.792087084940043,0.005146305239209845,0.2722924173721429
CEBPZ,1.050399489774098,6.375734287378495,11.734720735211615,0.005225227625478221,0.2722924173721429
MGST1,-0.8030237217219013,9.28574593965395,11.63315136603024,0.005368491300581025,0.27274143102895293
S100A2,1.305095607587954,13.983907487890125,11.591645763548417,0.005428364803311134,0.27274143102895293
WDR1,-0.7085687777678704,8.398110179937559,11.526043004017302,0.005524613208475592,0.27274143102895293
BLOC1S1,-0.716540811092936,7.740229153077104,11.395678981357456,0.005721915380765745,0.27425851528208645
CTSH,1.1937886712366812,8.34050826900026,11.377382047025327,0.0057502673779826225,0.27425851528208645
