,logFC,logCPM,F,PValue,FDR
CST1,12.153368417562326,12.283277818802175,154.38692541463152,3.9736918650757555e-11,2.1024803658115821e-07
CCL26,9.10999695814616,9.027590956923556,96.65388468219588,2.6838537330980824e-09,7.100135050910977e-06
SLC26A4,5.424621981257933,8.672665619757456,42.14796174744851,1.99604223759772e-06,0.002833118902386871
FCGBP,3.9792433323300767,9.07236683615859,41.73325441518144,2.1418400320445064e-06,0.002833118902386871
POSTN,7.10130507253773,4.618348238484255,38.77051423680272,7.219492273370469e-06,0.006469205428147415
ITLN1,8.327060089684483,7.160037311638204,37.23568675561549,7.3360862916054594e-06,0.006469205428147415
PRB2,7.176805833593723,5.007467895338382,34.489162462773784,1.1929281779621892e-05,0.009016832842282775
CDH26,3.1087486277012886,6.886673038401882,30.77684184657589,1.6820697233104878e-05,0.011118093830603297
CST2,7.642010758578188,6.267718928336628,31.60537948815383,2.0454370996735358e-05,0.011118093830603297
FETUB,4.927731795505915,4.941364170509449,29.55174986152052,2.1776703488840403e-05,0.011118093830603297
TLR4,4.340528608964064,4.361393925607737,29.27323406505987,2.3114540188364444e-05,0.011118093830603297
SERPINB2,3.1049270117925967,9.088892946953521,28.117080797652083,2.9716932546603816e-05,0.013102690842006734
SPRR3,2.3636758484995943,6.800951694167504,25.841471988643217,4.964776259731696e-05,0.020206639377108003
KLK7,2.6732280972381184,5.011763200032399,25.335979131755536,5.584235037788566e-05,0.021074550546133955
LOXL4,2.4374114558172653,5.374318400379576,25.04807108582228,5.97464105447003e-05,0.021074550546133955
ATP12A,3.208279591934612,8.231654250495504,24.684245610690127,6.511453136173287e-05,0.021532561589683037
TSPAN8,2.6331656908855297,6.832318954330292,23.427578446061503,8.814857541699153e-05,0.027434947795958953
ALOX15,4.3565721601680885,10.775179837215177,22.118789073338295,0.000122036211778849,0.034061345667254134
IFIT2,2.5279975580655263,5.0222411347176275,22.05790611939327,0.00012392862472416192,0.034061345667254134
DUOXA2,3.0872174510819814,5.2926138293484195,21.707405124898063,0.00013546987579871105,0.034061345667254134
SERPINB5,1.8527854173461122,5.939796229269172,21.57537828921408,0.0001401191869363324,0.034061345667254134
ABCA13,2.179067307797498,6.100658432910304,21.533585575414687,0.0001416272169116596,0.034061345667254134
LBH,2.179773709649123,5.241333791037591,20.762832034522578,0.00017289291562827972,0.03977288767779252
TIMP1,1.7253727744908265,10.117928761649262,20.040004858930864,0.00020921771488440535,0.04612378872722453
CD9,1.9018225585080615,10.624942690164026,19.596571623583227,0.00023560783396990999,0.049864041981391743
CTSC,1.892873588794774,10.132757665106679,19.36007495119161,0.000251162495264799,0.050681865030967485
CDH6,3.7452988473507034,5.987439260098989,19.25219543082445,0.00025862981588284297,0.050681865030967485
UBD,4.441035286329094,7.84068182866458,18.542689796807277,0.0003142636067421622,0.05938459797402787
LGALS7B,2.5533633505027113,5.9842243769732715,17.80747754147145,0.0003861330928772134,0.07044931704873572
TXNIP,-1.6022401976376495,9.472860961448989,17.275861689222122,0.0004493376757037436,0.07677564304887723
SCGB3A1,-3.0900151819381114,12.963576487709052,17.272058767439923,0.0004498289424523141,0.07677564304887723
DUOX2,3.0744764921660703,6.087268092342022,16.98324252766684,0.0004889229289061947,0.08084035052633363
PTHLH,2.016517652081248,5.968524200840041,16.738057389292646,0.0005250541163855148,0.08418367666047755
SERPINB10,4.258703805267223,4.280503160977118,16.53795781048094,0.0005567223898284152,0.08663582837006308
