,logFC,logCPM,F,PValue,FDR
MALL,-2.7565867503843755,6.666100102392411,68.39589134498792,6.121624170716987e-07,0.0017489480255738431
FYB1,2.407404930078273,6.62559704961724,59.71716666458195,1.401947310878679e-06,0.001980950425879508
CTSC,1.5218783434906527,8.681838857324982,55.91380553105147,2.080101952271097e-06,0.001980950425879508
SERPINB13,3.2795800157707538,6.084435323851168,48.957318852469484,4.542397730253135e-06,0.002408192734284998
CCL26,7.381506075547214,9.940739962046734,55.789923855919156,5.0320828754326605e-06,0.002408192734284998
SQSTM1,1.326559033457581,10.155398990969537,48.05682821102095,5.057457614879239e-06,0.002408192734284998
MMP7,2.864284181878687,7.365749187158416,46.21602325348583,6.3306953536193e-06,0.0025838280893271917
CAV1,1.8648102294186588,8.659046067570621,44.32983796385332,8.026864714313743e-06,0.0025853110112401254
TNFSF10,1.6758621169785712,8.833029129893122,44.216543678979505,8.144136892251007e-06,0.0025853110112401254
SERPINB4,2.5854473270483513,8.834464792961647,39.62695225293555,1.5032127907997864e-05,0.00429467894331499
LGALS7B,3.247680267767107,8.570444638333823,37.6426152902216,1.992138483364641e-05,0.005174126951793436
LOXL4,3.439020288287145,6.837553168298819,35.00390006926715,2.9480802602512292e-05,0.007018887752948135
CCND2,1.4974061333309072,7.462979280034038,32.23225339170707,4.5567704163806514e-05,0.009786889788325821
NDUFB1,1.2973417165420766,7.253800574001074,31.917446079447135,4.7958157870690056e-05,0.009786889788325821
TP53I3,-1.6126083551254946,7.529468865680423,30.54995106195953,6.013864032094627e-05,0.011454406359796233
MT-ND3,1.3362832830987799,11.20453971048214,29.408344969569324,7.304523402574994e-05,0.01235773907432737
MIR205HG,1.7698052252018408,7.984890068476693,29.369860134446014,7.353222410345303e-05,0.01235773907432737
IFI16,1.6304707341391933,6.807411611007684,28.381736106498575,8.739402604783691e-05,0.013871374023259449
ANXA3,-1.1964367296138452,8.738991817734501,27.895887262004123,9.528351728235698e-05,0.014327632046089153
