,logFC,logCPM,F,PValue,FDR
SLC26A4,8.081159463651597,8.908987873745986,270.1051804142557,1.133082809427818e-12,7.629046555877498e-09
FCGBP,7.15936793573965,8.886144128256666,246.69076090730402,2.530719996273259e-12,8.519668867453925e-09
CST1,12.070364911936489,11.351587268874162,211.02947631649494,9.97837211623704e-12,2.2394793152874663e-08
CCL26,11.35358808480991,9.015795010047432,296.07143447259404,2.8771576733168973e-11,4.5669102640526424e-08
TF,-5.592293861075968,4.691864495055438,183.30270242404723,3.391437891023795e-11,4.5669102640526424e-08
POSTN,6.559962022231343,4.846096058689849,111.9455121599437,3.810009675974789e-09,4.275465858056376e-06
FETUB,8.280712028292228,5.148539214349951,117.11635390520594,1.7981704308685627e-08,1.7295830730054333e-05
ITLN1,7.063412123228186,5.977005014047133,82.7272536490307,3.834938370378889e-08,3.227580005970132e-05
PLK3,-2.8743674049744956,5.49993956781046,58.496421013501134,3.291628707440964e-07,0.00021848249699298172
ALOX15,3.842890716245121,10.286510886330555,58.02645711990849,3.4901690996277793e-07,0.00021848249699298172
IGFBP3,-2.2573828545486836,9.108473934631318,57.534603424501434,3.712247298243113e-07,0.00021848249699298172
KLF10,-1.9692034438687456,7.188016094276364,57.15580697623207,3.893940240480886e-07,0.00021848249699298172
CDH6,3.2286309875278927,6.230013499992052,55.56052255291688,4.774836547255647e-07,0.00024729980363594054
SLC26A4-AS1,5.097848820365214,3.638884006624328,54.87637790544646,5.218384933350989e-07,0.00025096704111608726
DPP4,3.5695571813175557,5.312060920240419,53.334688168858634,6.394751829298689e-07,0.0002689229666273575
DUOX2,2.8572457969424914,6.370273335686384,52.955603197833994,6.727089415155566e-07,0.0002689229666273575
TXNIP,-1.6798729733073747,9.28861752861233,52.88620428091047,6.789975393829017e-07,0.0002689229666273575
MAP1B,3.4154322889882196,5.601271078189414,51.29471613623287,8.426540354543894e-07,0.00031348441881172407
SLC12A2,1.886094029105173,6.577427372973066,50.94144332561191,8.846285396439562e-07,0.00031348441881172407
RDH10,1.540018212931966,7.914359528044285,49.771989658111444,1.0409610165992954e-06,0.0003504395262381528
TNFAIP3,-1.898900213747598,7.627041353831043,47.91811088763655,1.3552868600464898e-06,0.000434530782318715
CDH26,3.5556821456753416,7.2505825840574225,47.067328911372435,1.5336124065327201e-06,0.00046607567123906985
GNE,1.8528909889825411,5.929183310290298,46.811836744318455,1.5921194769788513e-06,0.00046607567123906985
BHLHE40,-1.8595557959152884,8.705727502353811,46.10860774659456,1.766311055792096e-06,0.0004955238474436743
TLR2,-1.80956752245197,5.98054578201849,43.23751083716448,2.732136201808068e-06,0.0007358189218709489
CTSD,-1.954531192204241,10.480269569114808,42.33231650020625,3.148430048158339e-06,0.0007976815647680686
MT1E,-2.1116206395705532,7.273403711229908,42.23189253717566,3.198782451914132e-06,0.0007976815647680686
PIM3,-1.6018003997138053,8.23357663107771,41.95655369572029,3.341466287545744e-06,0.0008035033040730534
DUOXA2,3.381216096128426,5.693324651297253,41.35913823802495,3.675900757676616e-06,0.0008389789719256657
RHOV,-1.542077547095704,6.607027596107068,41.254492019220805,3.7382101823511023e-06,0.0008389789719256657
BIRC3,-1.5353208337745607,7.577209815696002,40.23113913080501,4.4131351693994795e-06,0.0009585044869537643
TIPARP,-1.4724590511799835,6.598978815546584,39.924139096316566,4.641115144551004e-06,0.0009765196333831846
