,logFC,logCPM,F,PValue,FDR
IFI27,2.289339235704803,9.948904311095514,40.130574465572195,5.5538225920714295e-05,0.04359805018844905
DST,2.989376119262485,7.893644616714315,37.64263671585785,7.34983796716819e-05,0.04359805018844905
KLK6,2.3108778789453757,7.365222240810166,37.581420480726436,7.402045872402215e-05,0.04359805018844905
SPRR2A,2.3512224076731645,8.793041848063206,27.16169851210928,0.0002889422321441564,0.11488159873914283
CD74,-1.9008185031961313,8.822063378513345,26.376427622260966,0.0003250752652494138,0.11488159873914283
SERPINA3,-2.5628580603943334,10.954452986475275,24.571481998985636,0.000430503519910134,0.12678328661353447
PIP,-2.2651733307035555,6.76767350826112,22.881419405876102,0.0005678187763626181,0.14333368254753515
CYP1B1,-2.2520614246307384,7.203140799177577,19.23166266080484,0.0010886040908092453,0.24044542855749204
MDK,-1.415100666508969,9.80960550106893,18.343022671947022,0.0012916873679902127,0.2536012865820784
UPK1B,-2.0962761506104424,8.82775808777532,17.737357552324788,0.0014560331061272333,0.25728104985268213
RHOV,-1.5127334906523757,7.560394505206573,16.388042691129534,0.002328827342336066,0.3410439803971755
ISG15,1.6704285314788465,7.097664194430214,15.480915646349997,0.0023324450089336835,0.3410439803971755
GALNT5,1.21988152847481,7.961288947339491,15.148672884682277,0.0025090954981116472,0.3410439803971755
PSCA,-2.008447790315388,12.520740176188394,14.3250669688711,0.0030201448209654187,0.36686663099202005
SLURP2,1.9619679131368484,8.007886094194152,14.154235262882109,0.0031411032921688678,0.36686663099202005
NIBAN2,1.3215352077810716,7.353549447188764,13.912891213026562,0.0033219389337138206,0.36686663099202005
CRCT1,4.218232151657223,8.086979767168625,13.499185013605784,0.0036615462414781863,0.3805854240407032
COL17A1,1.9318033714637097,7.181118695917878,12.683824431790475,0.004459745295332906,0.38421125843087867
ITGB4,1.300521861971364,7.173316742468443,12.591429832592707,0.004562665273412757,0.38421125843087867
SPRR2D,2.067107664699407,8.505123587370717,12.579938927054357,0.004575661568873903,0.38421125843087867
IFI6,1.4753320059943134,7.978133631356411,12.332209054768612,0.00486684387016639,0.38421125843087867
LURAP1L,-1.60685985875843,7.182327987810809,12.23249575513711,0.004990230550666472,0.38421125843087867
MGST1,-1.1610365660929964,10.089879536087203,12.172653830023256,0.0050660654429372015,0.38421125843087867
TNFAIP3,-1.307143452439807,7.4044925038474085,11.9378645270483,0.005377149019675613,0.38421125843087867
SLC3A2,1.0677596992439686,8.100361148759875,11.776389931099203,0.005604313151793947,0.38421125843087867
S100A7,2.9686814857178865,8.366012386330016,11.64481746965313,0.0057978857265561234,0.38421125843087867
LGALS7B,2.117356716893529,8.40263486835975,11.596605415759347,0.005870800213714614,0.38421125843087867
CRABP2,-1.0610443474987816,9.579882035888808,10.997101970554658,0.0068751985482075175,0.3994644961261623
CPD,-1.3674525388626133,8.732593556888345,10.97076247083313,0.0069238296234365206,0.3994644961261623
TFCP2L1,-1.580386544009899,7.2551738473969705,10.890903272756791,0.0070737974239967446,0.3994644961261623
TP53I3,-1.7694815054637285,8.300310132525395,10.885765021771252,0.007083578254329756,0.3994644961261623
CLDN1,1.2399382080023753,8.326811537570679,10.393336236617593,0.008100412390457709,0.3994644961261623
ARGLU1,0.9008226833094303,8.01296189142457,10.355088769818785,0.008186434864375558,0.3994644961261623
S100A8,1.6682254700394834,11.881810540447724,10.311555993744307,0.00828567206514285,0.3994644961261623
GSN,-1.0593179948248024,10.984488549874142,10.161205776881774,0.008639609247602629,0.3994644961261623
ITGB8,1.7276847799307868,6.903576502020663,10.156571013936517,0.008650802968938333,0.3994644961261623
HIST1H1C,1.0319437525324449,7.393689572198863,10.029968762652075,0.00896335886266999,0.3994644961261623
MTUS1,1.2616177206482035,7.0548001530893565,9.946995606112871,0.009175510999316273,0.3994644961261623
TMEM205,-1.1683457315044135,7.077091881741755,9.945886635514645,0.009178386772480344,0.3994644961261623
TFPI2,-1.1298089222094785,7.869391369374502,9.84258551268925,0.00945104035184049,0.3994644961261623
CCL20,-1.4464622541794527,9.490609627481307,9.773869886109406,0.009637761244143905,0.3994644961261623
RPN2,-1.0001579415444406,8.479219781387496,9.718252609714769,0.009792116477524336,0.3994644961261623
IQGAP1,0.9389593208769356,7.756865820856838,9.656155349484058,0.009967951462516332,0.3994644961261623
EPHX1,-1.109628470972334,8.264777211020165,9.646134720782491,0.009996677439545583,0.3994644961261623
