,logFC,logCPM,F,PValue,FDR
ALOX15,2.520890220458525,7.0751096979837635,30.698256262149783,7.785098382965743e-06,0.027629314161145422
PIP,2.0038640766540565,8.904417875140734,21.43701218883435,8.689453894962803e-05,0.10481909547901187
TF,-4.562422751876877,8.015739453020299,21.369104135733693,8.860447631361951e-05,0.10481909547901187
AQP5,2.441017197584013,6.358657421232194,18.69503450692435,0.00024460944403553183,0.2170297292205256
VMO1,1.412709896828058,8.520801655097046,16.683927688998892,0.0003676726755050294,0.2583277177370018
SERPINA3,-1.6614179250529508,12.307728490541773,15.805320844837127,0.0004893667983104177,0.2583277177370018
SCGB1A1,-2.095334113787471,9.331631274761179,15.682925571404276,0.0005095221257140076,0.2583277177370018
MYH9,-1.6125452716749045,8.527251097990668,14.795389633361019,0.0006855219106417583,0.30411465760845
RPL22L1,-3.5878540980548115,6.848310665573521,14.080442859039742,0.0008752738858404142,0.34243993325966177
CRYM,1.8686466095372858,5.859513180696515,13.533827796182056,0.001058630273948351,0.34243993325966177
AREG,-1.6039293205424097,7.757097431175097,13.526430446602376,0.0010613804637521216,0.34243993325966177
IP6K2,-2.7436505387486676,6.790449507018693,12.525815335510107,0.0015155487278340634,0.42652299207508676
ACTB,-1.7703197537125928,12.149252457461781,12.44174185186709,0.0015623552823263252,0.42652299207508676
TUBB3,-1.8334463823727734,7.317126840326559,11.810548724300755,0.0019681050876530722,0.4950966464829188
ERRFI1,-1.294201131547273,8.241493788181197,11.564315277837249,0.0021562540848762486,0.4950966464829188
CACUL1,-7.230042878243927,6.166093075708185,11.574431693414388,0.0023147785069233475,0.4950966464829188
DUOXA2,2.350339818994661,5.523399348863733,11.309664688510274,0.0023715533925639954,0.4950966464829188
FHL2,-2.022764326888536,7.27140354075552,11.044002061744257,0.002621281733751631,0.51682938183803
COPE,-1.336541175562658,8.02048894767584,10.26409681394739,0.003534793212759155,0.6602621637938021
PCBP2,-1.1931763067795838,9.051721917147562,9.985525417755348,0.003940689513812079,0.6744578501414923
PCYOX1,-3.093510628033262,6.308390457825961,9.953266071482526,0.003990874852908238,0.6744578501414923
PAPOLA,-1.870159657818124,7.507312208594795,9.446632081558674,0.004877442805252021,0.76676193768507
CBR1,1.249415705460409,7.094274803633986,9.400040297647497,0.004969153160540042,0.76676193768507
ACTG1,-1.0549997941991616,11.470080918108714,8.589289614334403,0.006906516091375767,0.8035165297929336
MRFAP1,-1.3790321264894554,7.579595963772043,8.58541664161182,0.006917549892721018,0.8035165297929336
SC5D,-2.9904438133721514,6.022816217014036,8.451598673364947,0.00731085271913257,0.8035165297929336
DHRS9,-1.1641477457454712,9.78997743263817,8.404857728023739,0.007453924750237744,0.8035165297929336
RRAGA,-2.047937650256877,6.8337916568899395,8.350767217743492,0.007623318817402462,0.8035165297929336
CRABP2,-0.8710007632898185,9.36686587092353,8.333103130351738,0.007679543529291395,0.8035165297929336
JPT2,-3.059171192841567,6.156276744492461,8.2823269151154,0.007843700089341411,0.8035165297929336
OAS1,2.0031983406287743,5.58346381874188,8.276035181124245,0.00786430618673468,0.8035165297929336
NR2F6,1.5825898205956328,5.738355555062145,8.067401842341003,0.008582234197466357,0.8035165297929336
SLC25A39,-1.5051967189722981,7.5399580167698375,8.015958335802269,0.008770058592329266,0.8035165297929336
ID3,1.2257688917045144,7.710402209291761,8.007919148371581,0.00879981391310144,0.8035165297929336
RPS9,-0.8461533629233516,10.08019417454014,7.991969490748593,0.008859175162305282,0.8035165297929336
EIF5A,-1.428139207127946,7.678168239808261,7.94263586944457,0.009045571316945304,0.8035165297929336
AQP3,1.0497337058774547,9.399455131002348,7.922523439131531,0.00912278772534883,0.8035165297929336
BCAP31,-0.9128577579240097,8.496579021169916,7.863768388619133,0.009352518605374794,0.8035165297929336
ARHGDIB,-2.288838844375267,6.610001159370968,7.816444713995852,0.00954215254429028,0.8035165297929336
SERPINA1,-1.3658918791113934,7.489179515131606,7.645287701710841,0.010263921257946338,0.8035165297929336
ARPC4,-1.6966018368577471,7.031085643854649,7.609400620950738,0.010422707552523556,0.8035165297929336
TUBB6,-7.219691758596518,5.754760076119218,7.548691282970337,0.011133804482247493,0.8035165297929336
ENO1,-0.8446155782063185,9.26296592035422,7.431079280292869,0.01125261562668243,0.8035165297929336
MT2A,-0.9565243893161579,10.478459919316432,7.284331859248441,0.011989945442872794,0.8035165297929336
