,logFC,logCPM,F,PValue,FDR
FYB1,2.0563309309401623,6.828959444316925,16.72076161952685,0.0002934201343894155,0.861481514567324
S100A9,-2.018219694458174,10.728061645114789,12.81701621482494,0.0011785202914817033,0.9595471533169124
DST,1.597761178645489,7.753800084368702,11.945313712853189,0.0016403091978176665,0.9595471533169124
PPL,-1.5528974169088785,6.791648961928075,11.437498534339822,0.0019963149192152832,0.9595471533169124
KLK10,1.6069384285741422,7.650567562660235,11.422150748567635,0.002008291820542024,0.9595471533169124
CST6,-1.6574752101731305,9.693159625538252,9.613271179722977,0.004145563953082895,0.9595471533169124
PDGFB,2.2172457459749,5.496908662574042,9.493999608714162,0.004354813965997464,0.9595471533169124
FBXO2,1.5240584731217537,6.965016467469538,9.469010457633276,0.004400082030191011,0.9595471533169124
DNPH1,-1.4133438310509996,6.622569890453767,9.294199751201313,0.004731307584084488,0.9595471533169124
IFI27,-1.6696192438400284,8.936565079296427,9.10730691697134,0.00511541897733397,0.9595471533169124
FXYD5,1.339353517760843,7.0650843308405245,8.8034241558088,0.0058137322718275755,0.9595471533169124
PTRH2,-1.7486847546783115,5.919492739168927,8.753356090492407,0.005938356508420103,0.9595471533169124
JAG1,1.4939507063739013,6.680396536753369,8.748052451216996,0.0059517258722640385,0.9595471533169124
CXCL5,2.04424548088678,5.892557964533814,8.637908369290331,0.006236856520011395,0.9595471533169124
TMEM132A,1.44468835392198,6.273793359744478,8.395995587532122,0.0069162868524986305,0.9595471533169124
DECR1,1.5334285066212765,6.67138497218477,8.136897382859695,0.0077338094330970915,0.9595471533169124
MRPL20,-1.2500017045606957,7.430628194141828,7.937576030953323,0.008433836495990176,0.9595471533169124
ARHGAP18,-1.615142093880039,5.899519317858387,7.810765137591425,0.008914732044871079,0.9595471533169124
RPS9,-1.3412338595363504,10.031128992712436,7.8097504847882275,0.00891869760390483,0.9595471533169124
TRAPPC5,-1.3102565287616985,8.316245167003002,7.612333016135086,0.009727882367032373,0.9595471533169124
TBC1D7,1.481585189351201,6.244537568136612,7.19089675994519,0.011734686789399356,0.9595471533169124
TUBB2A,1.3688584525984044,6.833855007918023,7.130261788688006,0.012058652447771252,0.9595471533169124
FAM136A,-1.3020315877728383,6.416306562055103,7.116975518860542,0.012130929125705658,0.9595471533169124
BLOC1S1,-1.3732431298804766,7.46671819905265,7.105966920821351,0.012191171885695701,0.9595471533169124
