,logFC,logCPM,F,PValue,FDR
MTRNR2L12,-2.623784660645705,11.33904439748894,76.75988759140017,4.348230564072318e-08,0.00011200368025944947
FN1,-3.2139810547908487,7.829493954378777,71.2643928831143,7.66361137594591e-08,0.00011200368025944947
AL138963.4,-4.269129102747293,6.7367573684057005,62.849645060688026,1.9610104456888513e-07,0.00019106778442495043
RPL39,2.2777668207002693,11.262614558248746,58.6210617576122,3.265613487786356e-07,0.00023863470561998797
MT-ND6,-2.7533210490972793,9.42467410346784,55.76714977851741,4.682914641098966e-07,0.00027376318991864554
SEC61G,2.490366124721666,8.68948602693414,52.04985352784551,7.65314662645441e-07,0.00037283579315210407
MT1X,2.4381659389715877,12.257328800320423,49.93935071673377,1.0235179385863426e-06,0.0004273918477839827
RARRES1,2.1054704334721857,10.834046085392073,47.37954967006688,1.474522240420949e-06,0.00052565205417537
PHGDH,-3.341697525838795,6.107984757453758,46.7420773183341,1.6184976009505063e-06,0.00052565205417537
SCGB1A1,3.4927571770838206,10.08977752984644,45.04549502065102,2.0834765842343793e-06,0.0005566133222721436
LAMC2,-2.5544987708332707,7.358436871920922,44.595393113430376,2.230420521525893e-06,0.0005566133222721436
EGLN3,2.9326580012322023,6.6619539351936465,44.43620929844812,2.2851042994408908e-06,0.0005566133222721436
SERPINE1,-3.475757851307693,6.0174241720911965,42.323592950245555,3.170601774118792e-06,0.0006747581938964618
SCGB3A1,1.854660588749813,12.59773323240208,42.202488866876415,3.2318216608109704e-06,0.0006747581938964618
PLEC,-2.805656662684806,7.259231188542337,40.452157694308916,4.279740813175914e-06,0.0008339788264608797
NDUFA3,1.9677612081208777,7.67289759122935,39.232930039563165,5.231013136776846e-06,0.0009556407124249201
MT-CYB,-1.956387545996258,12.558623783440506,38.24909690173893,6.170341250345879e-06,0.0010609357338094707
PPL,-2.164543915167248,7.407078363049929,36.41632179390828,8.460284902811348e-06,0.001373856265050976
S100A9,-2.092683037568568,11.039148765946306,36.03070786045878,9.053626449261685e-06,0.0013928289532206266
RPS29,1.8411020214126044,8.128676550727851,35.073933606582706,1.0734828638011124e-05,0.001568895205445326
CGN,-2.2832727942250015,6.436877885497913,34.02850441675639,1.2977466352936458e-05,0.001806339721411108
TMA7,1.7561040808117032,8.984886027303054,32.652584076784365,1.6758736260394582e-05,0.0021765490661857794
MUC16,-1.9291665186370797,8.2877605620973,32.53751583114199,1.712645519065102e-05,0.0021765490661857794
AHNAK,-1.6956736005688786,8.49216767130812,32.04581342718771,1.8801620900553047e-05,0.00228988074551319
TFF3,2.9735372035241947,7.335821300461606,31.74879154994155,1.9900971068643254e-05,0.002326821537345769
AHNAK2,-2.2253383910286195,6.3976371765439275,31.135091786928665,2.2405036106553162e-05,0.0025188430976713417
COPS9,1.7826607444240712,7.487411665233671,30.3173895265441,2.6300099227073158e-05,0.002847229260767957
MYH9,-1.7115211874433227,7.875410794460575,28.79888196938093,3.568521092189585e-05,0.0037252811258821988
HIST1H1E,-2.053194710802916,6.98185993120098,28.41618328056586,3.8599756457298644e-05,0.003839208253567968
RPS28,1.532568195911601,10.958381714347738,28.316266005030972,3.940343742970887e-05,0.003839208253567968
KRT17,-1.5777364071036328,10.885444426601541,27.92920851087798,4.2696346446787314e-05,0.0040258522794825585
CP,1.56010784771186,8.166132322115956,27.495341194175914,4.675447011546811e-05,0.00427072862960979
KRT16,-2.1875942251379175,6.5362258610916015,27.21104299745483,4.9644590810510684e-05,0.004397307240579477
ROMO1,1.5114350647297248,8.630851656475084,26.820113385449126,5.394698201123672e-05,0.0046253073063808785
COX17,1.5290068428237333,8.08163771340403,26.697233172778635,5.53834265218374e-05,0.0046253073063808785
KRT19,-1.4256655495921722,12.5460459613347,25.91628203123972,6.556549559048513e-05,0.005323553989194112
TMEM45A,1.8878981285861798,7.392464690748225,25.74743588249924,6.802973041491256e-05,0.005374348702778093
RPL37,1.3932913798232778,10.196151406498734,25.45313426831742,7.257396131552454e-05,0.005477795809358189
JUP,-1.6157271943173417,7.78655128174504,25.380830180200345,7.374117590005506e-05,0.005477795809358189
RPL36A,1.4108651641509324,9.446714791030946,25.306592361656815,7.496128374078944e-05,0.005477795809358189
MYH14,-2.001084118105381,6.710416125572082,25.04166368641468,7.95012213761363e-05,0.005667855367864547
ATP5MD,1.4037536576031544,9.10113267129221,24.914935266696794,8.177993019020025e-05,0.0056914937129989365
SLC1A5,-2.4394732528383383,6.009412429090285,24.206215934849897,9.593564149855666e-05,0.006521392560471654
UQCRQ,1.338001787245429,9.739409359450066,24.093226238943714,9.843392560037662e-05,0.006522229149505691
KRT8,-1.4715654177988944,10.071803993112498,24.006053935609675,0.00010041064376591041,0.006522229149505691
C4orf3,1.54500331407004,8.618159522369082,23.756068530407575,0.00010632749292798593,0.006756418735402237
LMNA,-1.4899271117192603,7.680816326293447,23.534120367626425,0.00011190567227721505,0.006959580426942545
LAMA3,-2.0176201491722576,6.331760026146704,23.365789529569454,0.00011635263207144104,0.007085390490517129
WFDC2,1.4252813195705754,14.500852047274597,22.835216510530675,0.0001317017530029654,0.007712424758783099
SEM1,1.3950402130071988,8.39531471892051,22.819546107434626,0.00013218798910218408,0.007712424758783099
CXCL8,1.6524562127124351,10.270881290386985,22.743846475192072,0.000134565057371857,0.007712424758783099
RPS21,1.3199283328807851,9.640542726168105,22.46405083269165,0.00014377112552154726,0.008081596151913128
SNRPG,1.4278645735994482,8.074128954585111,22.29093730555542,0.00014981549308535028,0.008262465779027903
ANXA2,-1.4463624404711262,10.974301028295589,22.170430189452535,0.00015418922872145735,0.008264754096767562
APP,-1.3510261630027551,9.295949842779866,22.1347303516896,0.00015551196555669376,0.008264754096767562
RPLP2,1.2597770941131194,10.974238656255071,21.32838983234132,0.00018900922501378855,0.009865606512773285
ITM2B,1.3037599201783592,10.564321914380491,21.17386064960127,0.00019630230880525665,0.01006652015153974
RPS8,1.2617292534850664,11.866905115696985,20.96630592778138,0.00020659353964428776,0.010244141849360268
COX6C,1.2861275700832733,9.452124998649053,20.869489461397777,0.00021159743846760147,0.010244141849360268
ATP5F1B,-1.3118599536981423,9.21395568523458,20.858028443045797,0.00021219863500746843,0.010244141849360268
RPL34,1.2642310600969686,10.73965346900755,20.825167140321547,0.00021393292422939927,0.010244141849360268
NDUFA1,1.4218565858834344,8.404155519649606,20.748741256648817,0.0002180274707245678,0.010244141849360268
ACTN4,-1.7158330137134217,7.907069923031473,20.69799802218463,0.00022079402549083025,0.010244141849360268
NEAT1,-1.6384413973680407,12.208539757089483,20.40060739143547,0.00023781146314096613,0.010660265032626733
ATP5ME,1.506045989200737,7.462403498359618,20.382529649013403,0.00023889184963062272,0.010660265032626733
CSTB,1.6809063064694059,11.773609039997675,20.3524118329907,0.00024070389741818828,0.010660265032626733
SLPI,1.3970442866348594,15.147588710731585,20.246064474957286,0.000247225284699398,0.01072038586039053
ERO1A,1.60463397552594,8.11713934719569,20.18009831358289,0.0002513687578218828,0.01072038586039053
BPIFA2,1.306346289938723,9.209444763879821,20.15345300600645,0.00025306418897261257,0.01072038586039053
RPL35A,1.248165707208015,10.345943704909917,20.060046670107614,0.00025910849524910304,0.010807762556736846
DYNC1H1,-1.4244553597346437,8.095179521955302,20.008360520659267,0.0002625217726747575,0.010807762556736846
RPS13,1.2238417039251868,11.00135491070075,19.67121821515963,0.00028604820417020126,0.011612762510965253
MACF1,-1.4674957326644853,7.4137909304809675,19.57059885317722,0.0002935157261230428,0.011752691335036359
COMMD6,1.4668964917546023,8.215999430524667,19.352560373805588,0.0003104507690387663,0.012262805377031269
RPL3,-1.204589858437381,10.230384871868797,19.274341432566317,0.00031678787288692687,0.012346279365979831
H3F3A,1.2107401931039785,10.676593700310546,19.206508468894743,0.00032239981539819505,0.012399666584327949
RPL36,1.1628339953481255,10.240649050799764,18.25769063691132,0.00041364584400289944,0.01567762426982246
POMP,1.3426479759721954,8.794105472832442,18.201784455492664,0.00041985461198550025,0.01567762426982246
CALR,-1.2737150855921828,8.977791504998292,18.140208822448262,0.00042681293168569197,0.01567762426982246
DBN1,-2.119804674650281,5.955072095196068,18.074682546685402,0.0004343585268335183,0.01567762426982246
TMEM258,1.261257648435271,8.516268149128287,18.049864009849895,0.00043725502101479125,0.01567762426982246
DEFB1,1.8956721847039684,6.926512379336968,18.02812105306393,0.0004398101916269044,0.01567762426982246
ABRACL,1.2611067967471963,8.030904002868718,17.928967613640296,0.0004516743774744279,0.015906556691057262
LAMB3,-1.499124604766583,8.773108809575005,17.357891748789033,0.0005273160267653803,0.018349342217085795
UBL5,1.2576193561542437,8.701843327190158,17.23213039296613,0.0005458010866131669,0.01876913619023867
HEBP2,1.3607361152424455,8.102231681112796,17.08223897620261,0.0005687784804362136,0.01927970042531056
