,logFC,logCPM,F,PValue,FDR
SCGB3A1,2.681290042192875,15.957083353170168,668.1461322455536,3.3180651181457573e-13,2.9865904128429963e-09
MT1X,2.041792097915343,11.175923309451488,280.69567801681734,1.1883468997628183e-10,5.348155222382564e-07
RARRES1,1.8628260026360017,11.995162126996163,258.52304190607214,2.057088108061184e-10,6.171950020219573e-07
SEC61G,2.1003170732166843,8.730632440696224,213.52687734509973,7.299632793880388e-10,1.6425998694429343e-06
RPL39,1.8057053776460745,11.346668373397959,204.93192291048388,9.565990143431558e-10,1.722069545620549e-06
MT-ND6,-1.9245971158884934,9.022487598752644,171.36300452563862,3.0800122264612136e-09,4.620531675062897e-06
S100A6,1.7274680624014958,13.14337412019972,155.29067359488454,5.827264305361812e-09,7.2183205977637654e-06
ANXA2,-1.5307209509318556,10.028455240181913,152.99101331895147,6.415572134441742e-09,7.2183205977637654e-06
SCGB1A1,4.516424159911235,11.79232873649876,142.63192440253005,1.006625813423629e-08,1.0067376607362316e-05
S100A9,-1.8395749895109799,11.529367520688437,139.7092617867329,1.1492717907375923e-08,1.034459538842907e-05
CXCL8,1.6682816129578542,9.078423069448847,132.6599753818051,1.5992059901778345e-08,1.3085866470536988e-05
MTRNR2L12,-1.8660939076096854,9.971428501572007,123.88418422653953,2.4692272823138916e-08,1.8521262306756117e-05
TMA7,1.4987389240751325,8.968101070346387,122.05901220361847,2.7121590942088478e-08,1.8778572313056798e-05
NDUFA1,1.5726613436061505,8.702657829208462,119.79534275885541,3.0523393498276334e-08,1.962436177699895e-05
NDUFA3,1.6859275851582387,8.185008014104996,112.71116627391947,4.477959441576923e-08,2.6870741955755923e-05
KRT19,-1.1964833862537565,12.28441167840728,111.15495808990957,4.885403307115727e-08,2.748344697959291e-05
RPL3,-1.3898079122151834,9.699258944928355,106.95271500913152,6.215077604629753e-08,3.241111383252024e-05
ROMO1,1.6513850491942161,8.816151918242811,106.23470281424613,6.481502599548542e-08,3.241111383252024e-05
CALR,-1.5028785642604714,9.21273642004827,104.71632365500037,7.0890715854474e-08,3.358354386348002e-05
ATP5MD,1.4803809456807098,8.768521794338726,102.29586713174983,8.197334818994787e-08,3.689210535288604e-05
SLPI,1.5968091264778872,15.972727224393411,101.47154745323944,8.619052313132152e-08,3.6942899938334526e-05
RPS8,1.1118417918993526,11.915578369380992,99.1659670267529,9.936658434106838e-08,4.065448298427075e-05
ATP5ME,1.8072541548516694,8.533716459838617,97.94574584639214,1.072640142856926e-07,4.197753880806605e-05
RPS9,-1.235594754766263,9.890734884644832,96.40057390708864,1.1831541186015907e-07,4.210154064264797e-05
TFF3,2.691040552276499,9.422235736254452,95.7031755173509,1.237257951368526e-07,4.210154064264797e-05
RPL37,1.2235457130734042,10.62085045631195,95.41769008838916,1.2602176094602983e-07,4.210154064264797e-05
RPS28,1.1478334752001234,11.217630427909368,95.38465261523851,1.262905896402061e-07,4.210154064264797e-05
RPS21,1.2410197320729446,9.910657876709793,93.67003221264021,1.4118636775006428e-07,4.449259039298402e-05
MT-CYB,-1.253157272330161,12.160752328737,93.43836212776627,1.433490858123027e-07,4.449259039298402e-05
HIST1H1E,-2.4037255946412848,5.9942627354956715,92.48143752991136,1.5269287694753397e-07,4.581295284682511e-05
UQCRQ,1.209790187278215,9.833554264552147,90.89603851435315,1.6974872755954164e-07,4.928736441172369e-05
MUC16,-1.6160521994911974,7.653919140976492,88.74180401535187,1.9653204370397896e-07,5.528077891810983e-05
PHLDA2,1.3343985302929902,8.297726941317597,84.64896039809811,2.6189293385669915e-07,7.13105950944886e-05
RPS13,1.0597784938123749,10.969080132141505,84.23851504666979,2.69721617647607e-07,7.13105950944886e-05
RPS18,-1.1005831006529794,10.822570938247855,83.474220807106,2.850234345450382e-07,7.13105950944886e-05
KRT8,-1.4819631944975944,9.579604781194499,83.46516045193357,2.8521069030125427e-07,7.13105950944886e-05
COPS9,1.6323737355599905,7.52845779489774,82.3844213133267,3.0859058465387575e-07,7.507091493160907e-05
MT-ND3,1.2999857439987916,11.567861243185067,81.00594016690512,3.4166000831877305e-07,8.092846670729675e-05
RPL34,1.033941024143802,11.196219211672945,79.87300257836564,3.7189411831551314e-07,8.583125535789574e-05
EEF2,-1.4522700581084433,8.75321261199971,78.41963265644787,4.152640565632129e-07,9.122841849426928e-05
SOX4,1.1247232314147249,10.276732302605039,78.41063638159976,4.1554995647872914e-07,9.122841849426928e-05
RPLP2,1.0344962485550926,10.79495724816049,78.06621223369174,4.2666681553602557e-07,9.143876206285157e-05
TMEM45A,1.502479300668745,7.47943959830012,76.97420472434334,4.6422694109496477e-07,9.547843900567531e-05
ATP5MF,1.368709548251176,9.06961416260925,76.90500642482637,4.667316205143555e-07,9.547843900567531e-05
SNRPG,1.3598815037168543,7.931990883680471,76.41082077136834,4.850749619933149e-07,9.702577184226283e-05
AGR2,1.288695698048927,11.898425440875178,75.77029617862442,5.100896773492469e-07,9.98112431700124e-05
NDUFC1,1.5365716068029678,8.169778661157933,73.44044083400148,6.143742588146167e-07,0.00011765920645936946
CXCL6,2.2869593141547258,7.99072001036651,72.53608220656088,6.612725748594455e-07,0.00012400238429812228
UQCR11,1.069923491934438,9.822829195422035,71.37629737014454,7.275289847447908e-07,0.00013230806987523874
SEC61B,1.231705467464765,8.900354148642018,71.25374750542714,7.349631700657635e-07,0.00013230806987523874
WFDC2,1.284903664605702,14.981635894849783,70.98951768978883,7.512894607725736e-07,0.0001325952242434105
MSMB,1.5833558423113614,13.919108423022118,70.48930637912187,7.833454485086562e-07,0.00013559408426973873
AHNAK,-1.327836654422949,7.422453607239292,68.67171145395633,9.137338952603434e-07,0.00015517959983468585
MT2A,1.1483883963674777,10.154649321631558,68.35314884264687,9.390584288170622e-07,0.00015652712810708104
SERF2,0.9609453586072102,11.351213157503405,68.1259132015387,9.576134538084658e-07,0.00015671779450418183
CST3,1.1298817338705245,10.664049512869218,67.85761611544594,9.800633636735165e-07,0.0001575276845790236
SEM1,1.1846796263912989,8.473106029958684,67.60255727919268,1.0019650868547635e-06,0.00015822259204876713
ATP5F1E,1.0111735502203212,10.091019774780321,67.05971260893503,1.050467992839241e-06,0.00016296385042890966
