,logFC,logCPM,F,PValue,FDR
AL138963.4,-4.64227636203738,6.706959107466154,165.71954733020667,1.8841929091765833e-37,1.1864762749084945e-33
S100A9,-2.3888408571728537,11.170887544146645,95.08922035365411,2.616067202767966e-22,8.23668758791494e-19
SLPI,1.5312680749525969,14.914104821538494,79.40241638514532,6.534428491586205e-19,1.3715765403839444e-15
MTRNR2L12,-2.219259453398886,10.216128545285489,67.7615433517892,2.223016525087712e-16,3.49958376461933e-13
HIST1H1E,-3.559375936781998,6.321926077134639,66.61477432173986,3.9527180288589713e-16,4.978053085544989e-13
WFDC2,1.3214589495103524,14.811529183329931,59.158561746880125,1.677805345474926e-14,1.7608567100759346e-11
SCGB1A1,2.949758726102928,10.12043088021691,57.987431117585494,3.026011412029838e-14,2.722113408793127e-11
KRT17,-1.983537167060738,10.491349758482176,54.573306314647674,1.6916075377387469e-13,1.3315065831426112e-10
RARRES1,1.877667224001269,12.071031886061188,49.61468244354903,2.070160443079598e-12,1.4484222566746921e-09
MT-ND6,-2.0793939509829005,9.30952066643052,43.78903529968664,3.9589641130010473e-11,2.4929597019567595e-08
MT-CYB,-1.3383701279849192,12.556451942873972,42.762591233662526,6.665778371263617e-11,3.815855127622454e-08
ANXA2,-1.6998998612919658,10.645719967522682,41.86921550614562,1.0493232000951489e-10,5.5063234924992937e-08
SCGB3A1,1.4414471860338425,12.573442579614282,39.49881303423262,3.5022604216490183e-10,1.6964410673172206e-07
CXCL8,2.2354123909652452,9.725229405388163,37.82841017017775,8.198826395581026e-10,3.68771498664098e-07
SEC61G,2.703883550158431,8.98889278344349,35.22980401506172,3.0859774593068714e-09,1.2954933374170246e-06
FN1,-2.898653805474044,7.00378318275014,34.0926379150252,5.516929987904173e-09,2.1712567583645362e-06
ITGB6,-2.2254740351774105,6.954832552725158,33.19828659060193,8.715897586096198e-09,3.228471005861633e-06
KRT13,-1.9347662001517354,7.318455817594897,32.695789452815724,1.1271425902030492e-08,3.796301611582866e-06
S100A6,1.1041876943624118,13.758789987690685,32.66428989230471,1.1454618170569231e-08,3.796301611582866e-06
RPL39,1.3881359534328517,11.838638725917987,30.326526882415717,3.795303917543293e-08,1.1949514384385059e-05
SERPINB11,-2.3533521421213117,6.03714751670252,29.49661784988622,5.811062058935052e-08,1.7424884659578104e-05
RPL3,-1.616883289514477,9.657881978976905,28.882979493446918,7.964620472839255e-08,2.2796915962485814e-05
H1F0,-1.9066986545414566,6.982188231453983,26.01454016450143,3.4876551473663215e-07,9.548593244767708e-05
ADM,-2.1150122148351116,6.374959618950852,25.52267916395327,4.4953141735072557e-07,0.00011794580562739662
