,logFC,logCPM,F,PValue,FDR
CCL20,3.5131357992223378,8.86684232309006,55.51935545200336,3.068406910445247e-06,0.00714018288060609
SCGB1A1,4.537268655155903,8.425416142426618,35.24335177582194,3.604326779720747e-05,0.041936342082050895
JUP,-1.697429428679383,8.188040446731478,21.598688861760003,0.00037521327987899975,0.2910404340928108
FLNB,-1.5247972931312717,8.079902638019867,18.26691004737215,0.0007685355709708632,0.336778962719292
BIK,1.830605080034584,7.369182360138682,17.982715495733558,0.0008199656895939916,0.336778962719292
IFI27,-2.398326134603029,9.38271270706857,17.733364026109374,0.0008683600242010108,0.336778962719292
KRT15,1.7731892001801237,7.719270520267986,15.318307857519102,0.0015538423788478539,0.3532525348827019
S100A9,-1.6868849960074084,10.404203790913778,15.107853081036879,0.0016386597812096996,0.3532525348827019
NFKBIA,1.4645114413826636,9.2197080638182,15.070289595370408,0.0016543512281875878,0.3532525348827019
HLA-E,-1.5923566610045738,7.342927703896474,14.967766501140886,0.0016980635332593768,0.3532525348827019
PLEC,-1.4355245276720654,8.30790479709884,14.688885032239947,0.0018238368551254005,0.3532525348827019
CXCL3,2.3663684930934923,8.056873794103785,14.492425184533321,0.0019188687132414206,0.3532525348827019
MVP,-1.9222923443267295,6.84790412640288,14.183158983136178,0.0020802259910152605,0.3532525348827019
CLDN4,-1.2002631251190925,8.875463274412187,13.94239597462331,0.00221667614642913,0.3532525348827019
LAMB3,-1.2007898004885598,9.457263950968354,13.74576691131516,0.002335773736920218,0.3532525348827019
CXCL6,2.8922303091572306,7.592355722657724,13.599880006667485,0.0024288958135467256,0.3532525348827019
PLIN3,-1.7394092597343855,6.900364353258499,13.221771073130506,0.0026907774194862965,0.3683199444202713
VMP1,1.4786828803851868,7.720010644951581,12.58461811029055,0.0032090984157533402,0.4128884925800304
CXCL8,1.7843358627337471,9.361750505833575,12.409318609543574,0.0033712425264377215,0.4128884925800304
SERPINB4,1.654572291761167,8.147110088619963,11.683662014725424,0.004150754815298109,0.4532123408199901
DDT,1.422433133796698,7.137402533375512,11.67758116349553,0.0041581116208855625,0.4532123408199901
PLIN2,-1.3746770710445622,7.93692152423008,11.57478643156954,0.00428477503138796,0.4532123408199901
BRD2,-1.8731881585822892,6.502365496671378,11.411850540836708,0.00449475307322477,0.45475175658234956
PHLDA1,-1.8387233658251456,7.351978923066749,10.899096149417826,0.0052370912884624485,0.47827921895016945
FLNA,-1.344088324008021,7.846652606177233,10.881394843371025,0.005265134995967152,0.47827921895016945
MUC16,-1.7723854658246339,6.914596528318199,10.832251871951044,0.00534390188771139,0.47827921895016945
ANGPTL4,-1.1743249015503436,8.847246778298713,10.705838038170663,0.005552833405730554,0.4785719753753704
TMBIM4,1.1971441534794585,7.926180255367585,10.204571091217849,0.006479389552028196,0.5228024998832714
CAMK2N1,1.5809042208823476,7.200850455961335,10.186799900946351,0.006515372796138751,0.5228024998832714
SLC16A3,-1.0542618719078525,8.362691151687184,10.074585801839598,0.006747977846026356,0.5230035020588856
EEA1,1.4261977189445807,6.624504696352133,9.972751473733116,0.0069673865766331985,0.5230035020588856
LRRC59,-1.1718692002656503,7.249367634636115,9.477538227054342,0.008158971697855623,0.5458352286611201
TMEM167A,1.5654333754910366,6.9471644778729,9.419722244762117,0.008312850749652071,0.5458352286611201
OSTC,1.161286163677472,7.700395829033945,9.392025925511206,0.008387750303207046,0.5458352286611201
RBIS,1.3323130680579944,6.619953660781287,9.379402332174077,0.008422146679849224,0.5458352286611201
TMBIM6,1.0070363768204251,9.556039673071705,9.365886864244867,0.008459153806613006,0.5458352286611201
PORCN,-1.4638906470713746,6.926328223793374,9.128965584014683,0.009139375205582919,0.5458352286611201
RNF145,1.4213231605323595,6.9043963633171,9.12863831358241,0.009140357552579558,0.5458352286611201
TRAM1,1.0084433196319544,8.809822429397592,9.00785225649748,0.009511386656314255,0.5458352286611201
ITGA2,-0.980037585545362,7.802502514204368,8.962502123750308,0.009655163082550657,0.5458352286611201
LGALS7B,-1.2672705513095086,7.624026411681464,8.802196795726289,0.010183901810314588,0.5458352286611201
IFNGR1,1.6207317182922258,7.259015414268462,8.638931196153015,0.010757104358426155,0.5458352286611201
RAB11B,-1.4960694985009444,6.776731001486134,8.59419879955819,0.010920603758871147,0.5458352286611201
MMP7,2.4796067233356753,7.728960177320007,8.575339459576105,0.010990395341606066,0.5458352286611201
PRSS8,-1.2863123586856182,7.325055511260671,8.549081759528908,0.011088426128618276,0.5458352286611201
ATP6AP1,-1.2728796427066178,6.915924780407372,8.523971606766478,0.011183119450952853,0.5458352286611201
NONO,-1.2889091358501634,7.549716692811288,8.505266947968469,0.011254264788006643,0.5458352286611201
TNIP1,-1.2606357839570224,7.254117492758492,8.488208701130599,0.011319604427289173,0.5458352286611201
NIBAN2,-1.173979585235459,6.762395892666102,8.409190959682693,0.011628053593738606,0.5458352286611201
FSCN1,-1.4651195180864764,6.628673579445099,8.364323596781464,0.01180751821398764,0.5458352286611201
TMED4,-1.1024026964252902,7.110282348551654,8.326117118671064,0.01196286921431763,0.5458352286611201
GPBP1,1.4503077977598842,6.665281484609499,8.197332836217873,0.012504212999391395,0.5476401818205915
