,logFC,logCPM,F,PValue,FDR
MTRNR2L12,-2.544931428796457,10.852858062224714,145.8856250877593,8.3129913348174e-33,2.4115987862305277e-29
RPL39,1.9222082986260867,11.50732459202852,85.66700910903567,4.017070281252756e-20,5.826760442957122e-17
BPIFA1,-1.949264070297507,12.549691655791712,75.86370094879236,5.012686806659549e-18,4.8472681420397836e-15
ANXA2,-1.815469387829487,10.689986915537235,73.93444178444818,1.2994889304721342e-17,9.424543468249153e-15
NEAT1,-1.8435044814542236,12.059298518130783,71.87972170569354,3.587764670142263e-17,2.081621061616541e-14
S100A9,-1.8367251389683898,11.13585554714705,69.6597956877487,1.0761306816966338e-16,5.2030918460032244e-14
C15orf48,1.606029607328489,10.24619363655381,64.03900029937542,1.7468723249794083e-15,6.762279238827922e-13
RARRES1,1.667027030709571,10.45010054185909,63.90744614033206,1.8648133026757454e-15,6.762279238827922e-13
KRT17,-1.634312921958281,11.319495928652389,61.03870320098571,7.760852124532334e-15,2.5015813348075888e-12
ATP5MD,1.6619402606847182,9.317701794223632,58.98924328770036,2.1525898281657458e-14,6.244663091508829e-12
MT-ND6,-1.7801053145551753,10.002083158134557,57.70662189767406,4.078645934564579e-14,1.0756501687428949e-11
CCL20,1.85323872523584,8.851283952858074,56.950651061749305,5.945764769368559e-14,1.4373886329948491e-11
CXCL8,1.5298945457585595,10.479870053674514,54.24401148340636,2.2957237114463537e-13,5.122995759158363e-11
SEC61G,1.8849872145632003,8.56467115655394,52.08665287470054,6.749994801109216e-13,1.3986953512869883e-10
PLIN2,-2.5626518979750386,7.650741567639537,51.68421427240125,8.255657014967007e-13,1.5966440666946192e-10
CSTB,1.4771068314050757,11.433299159724733,51.10591973751664,1.1026929887030006e-12,1.9993202251421281e-10
MT-CYB,-1.5662412003568396,12.7011555840915,48.53707753694567,3.994415412863032e-12,6.604842054424801e-10
KRT8,-1.492754586732373,9.982229953592183,48.485959773408,4.098143984131211e-12,6.604842054424801e-10
PLEC,-2.331990626192713,7.9843803415020105,47.27792675123811,7.513300278862413e-12,1.1471623215252557e-09
MT1X,1.458677914899899,12.356821501946134,47.096838665417444,8.228337304591948e-12,1.1935203260310622e-09
RPL3,-1.4301521389873308,9.973480933668393,44.73534364826685,2.6956919461543907e-11,3.7239058741875653e-09
ROMO1,1.5723061015450126,8.998558733401659,41.457250434636784,1.4049859649831572e-10,1.8526655838255178e-08
TMA7,1.4676629223115814,9.065086857423763,39.24060102962739,4.3017790237439125e-10,5.425852586035257e-08
MUC16,-2.211366373260031,8.297871260544175,38.62597644840849,5.86908615684929e-10,6.890332312060885e-08
MT2A,1.323509912381666,12.292926923673445,38.602924059108894,5.937894098639163e-10,6.890332312060885e-08
UQCRQ,1.268894572465594,9.935586242061715,38.335921550686756,6.796263859553416e-10,7.583062098678638e-08
CALR,-1.6099762498991914,9.053436276527824,38.07736860014448,7.745803442569999e-10,8.322435476627988e-08
FN1,-2.7566093567579153,8.196028017319222,37.89642492945371,8.488337287059281e-10,8.794523739199634e-08
IFITM3,1.1799743816287573,10.509096089851448,37.49542454204732,1.0398084244971954e-09,1.0401669791263324e-07
BPIFA2,1.4748968617793452,8.687932923717067,36.924206750186606,1.3885238269743422e-09,1.342702540684189e-07
LYPD2,-2.834024681576375,7.995465899220882,36.07829728817952,2.1314925106045092e-09,1.9946644429882842e-07
RPS9,-1.2933621105513204,9.990509497590443,35.86886649825866,2.3702312518971404e-09,2.1487627692980013e-07
KRT6A,-1.4188558115124794,9.05759213910115,35.7072961456685,2.5725733214513407e-09,2.2615258198576785e-07
CXCL6,2.448787485105298,7.262088655860669,35.52655825461902,2.8195022329458592e-09,2.405698816992923e-07
HLA-B,-1.2191085214303368,10.332886066467038,33.85510659845026,6.586345723503569e-09,5.45913969825253e-07
COX17,1.6029836420679617,8.28420120489533,33.78401056346711,6.82861263918554e-09,5.502723685077014e-07
HLA-A,-1.1780398213387355,10.45415149379218,32.97702739375896,1.0291717644847704e-08,8.069262942622483e-07
NDUFA3,1.6103788703852782,8.034189243146049,32.086158447248955,1.619399511126364e-08,1.236283679415153e-06
RPS28,1.1470797699063442,11.267175931063035,31.65436224013748,2.0176589850788536e-08,1.5008278758240397e-06
RPS26,1.1215934950611375,11.137328072677228,31.233312935865783,2.5004192528687656e-08,1.8134290631430725e-06
NDUFA1,1.3601531503867021,8.768513282725937,30.403264246733254,3.81785239993179e-08,2.701363368829786e-06
ATP5ME,1.7650467228031796,8.215200601452297,30.299859228730387,4.02467387346925e-08,2.7798997397462604e-06
CTSD,-1.1120439665363497,10.19984408824338,29.741948111198234,5.350575744499715e-08,3.6097721476264355e-06
RPLP2,1.0783996151798683,11.155328344905227,29.05002031601163,7.619103234541757e-08,5.0234132916831e-06
SFN,-1.691969162254379,8.14129046714669,28.421337770130616,1.0507554289464664e-07,6.773869998608221e-06
ERO1A,1.5853836568920459,7.193170333600487,28.075850803746288,1.2539164978716457e-07,7.810812403774215e-06
LAMB3,-1.4308199420705896,8.904450021220573,28.028564344730956,1.2846315075548967e-07,7.810812403774215e-06
TUBA4A,-2.661775195948924,6.6475660588290255,28.01681675221163,1.2923784742542652e-07,7.810812403774215e-06
KRT19,-1.121390353044708,12.405316643708161,27.833452704290426,1.4195539284650116e-07,8.40433866627959e-06
RPS18,-1.0696219313322042,10.932363234974563,27.326912351108202,1.8399808416427134e-07,1.0675568843211024e-05
EIF4A1,-1.233714431449489,9.151191470556247,27.27732029541512,1.8873296459448401e-07,1.0735575103698003e-05
RPL37,1.049491316696547,10.812309954303108,27.026144045444628,2.146585506552674e-07,1.1975470297133285e-05
RPS29,1.484673862472582,9.014172242456395,26.777059144469437,2.438956798921055e-07,1.3349837120132039e-05
MGST1,0.9909981464769769,10.362687213594917,26.628486696833054,2.6320377257149625e-07,1.4139891559813159e-05
APP,-1.1510701389998028,9.495264771372224,25.886179406970783,3.8523286719051225e-07,2.0319282685812292e-05
RPS21,1.0545529477564928,10.154222112581484,25.82217679756433,3.9810362382289675e-07,2.0623189512682564e-05
MYH9,-1.558090116586208,8.38635131183667,25.49022862338627,4.7211243968568383e-07,2.402803837768717e-05
RPS13,0.9910926637352964,11.06491962050581,25.29625009583777,5.215979050304327e-07,2.608888831884974e-05
AHNAK2,-1.9947538160250358,7.001269085360864,25.206923601851575,5.461043176092577e-07,2.6851671616685705e-05
