,logFC,logCPM,F,PValue,FDR
SCGB1A1,3.686333909003256,11.7619872192775,155.49735381368086,2.496882434573746e-09,2.316857211040979e-05
SEC61G,1.9554636511105856,8.381304405917934,89.23803303094525,1.0345220609718201e-07,0.0004799665101878759
NDUFA3,1.7355112773303134,7.698734367583271,72.85445258568545,3.789593286866605e-07,0.0011721212036278409
AL138963.4,-3.154457940336409,5.6826695169936094,65.36544470927623,7.462588279171173e-07,0.0013272613207258824
ATP5ME,1.7683737493679414,7.671023357172441,64.12013262949506,8.40453748503922e-07,0.0013272613207258824
PLEC,-1.9071427782496961,6.7280676902847425,63.90283172630077,8.582355775789735e-07,0.0013272613207258824
MSMO1,1.6024454259194496,6.986230492383829,62.14696744378109,1.018651399904551e-06,0.0013502951913877614
TFF1,4.3222478188411415,4.394759073348051,60.52548841106331,1.1975506561212396e-06,0.0013890090672686228
CXCL8,1.6093783352088011,9.443243034893582,58.932882250936665,1.4087058822980778e-06,0.0014523757646493181
RPS29,1.5523736287559182,8.34779424843519,55.82981344057855,1.953389411051749e-06,0.0016744850067986078
ROMO1,1.5563003491019314,8.538710966476714,55.68062942799981,1.985056048581171e-06,0.0016744850067986078
IGFBP5,-3.3390265255150866,4.95097279078561,53.44573250311645,2.536494917107829e-06,0.0019613446946536287
COX17,1.5001262877848052,7.595906295182815,52.391418130690866,2.8555739531374375e-06,0.0020382208239355603
CLDN10,1.669854463361408,7.115339193519034,51.39874538054431,3.198160028976122e-06,0.0021196947792049598
RPL39,1.8132337314319036,11.103209880354543,47.94632747610552,4.809294750393078e-06,0.002975029732593158
CASC8,2.7742115288829727,4.58690608508893,46.408935829982774,5.810342485150346e-06,0.0033696354949818786
S100A9,-2.1160505137906447,11.013823453498395,45.754136379841796,6.306937888164904e-06,0.0034424750978989498
NDUFB1,1.5374112151887223,7.155922878239222,44.665993548928455,7.242430050168477e-06,0.00373347269086185
STAT3,-1.436681030645595,7.213125296084252,43.17422314458703,8.791828736781846e-06,0.004150978311798226
TOM1,-1.8381919438967385,5.292307885621145,42.47195414472901,9.64903725355404e-06,0.004150978311798226
ANXA2,-1.4429759023446473,10.242708979035134,42.24672070815986,9.943744922645815e-06,0.004150978311798226
PHLDA2,1.3771031210200375,8.505025061315052,42.15447106251844,1.0067385142982533e-05,0.004150978311798226
NDUFA1,1.282324849203548,8.384494172310541,41.99222432157722,1.0289093778570881e-05,0.004150978311798226
RPL3,-1.3996449170879677,10.07924110493569,40.789304103045666,1.2116916661303802e-05,0.004396504022841329
CALR,-1.3108628524128934,9.328712443491748,40.73854684840291,1.220177622278049e-05,0.004396504022841329
COPS9,1.3839901027311345,7.081624853924391,40.669015965140396,1.231911893456995e-05,0.004396504022841329
ATP5MD,1.3708447207545384,8.578737893709064,40.26347725858522,1.3029557921172791e-05,0.004469906410061296
SNRPG,1.2142772176187893,7.755290139285744,40.01474753052827,1.3488240056225485e-05,0.004469906410061296
COX20,1.3102991833887485,6.132624758800992,39.72675631036162,1.4042359092656252e-05,0.004493070690370944
EEF2,-1.3103457999084045,9.006405586090247,38.9445303927227,1.5682406867184743e-05,0.004850568444020241
PFKFB3,-1.5566691099995065,5.74679451129531,37.140496092654004,2.036270536283355e-05,0.006095017518120404
MT1E,1.1821336046586475,7.016451843539351,36.449592797327,2.256042823606756e-05,0.006446534235515195
TMA7,1.2942866923858103,8.665454755135393,36.34192905881818,2.2926568571182395e-05,0.006446534235515195
RPS9,-1.3062571628173079,9.864849172665833,35.91978097016567,2.4428682879135407e-05,0.0066668749539852195
TNKS1BP1,-1.3370248822723998,6.127770674196017,35.639013660184524,2.5489504821656516e-05,0.006682367630149482
MPDU1,-1.7793005199193097,5.509162067730557,35.172833929320994,2.736835023293911e-05,0.006682367630149482
MYH9,-1.36593986968436,7.675651186151744,35.054160925597955,2.787139495627864e-05,0.006682367630149482
TNIP1,-1.5270580846884636,5.91515531667554,35.04385697244046,2.7915565051707304e-05,0.006682367630149482
MTLN,1.4319816136778771,5.868026163176588,34.95708908411155,2.829067964463099e-05,0.006682367630149482
MTRNR2L12,-2.2469294404817917,10.2286016922889,34.83990167296502,2.880641288996436e-05,0.006682367630149482
FOLR1,1.5554901217049593,6.022659338148472,34.456458189591274,3.0569955177248384e-05,0.006918502782675311
MT2A,1.7123094984786964,9.986325152932837,34.11706365821935,3.2233605848065666e-05,0.007121324492004793
RBIS,1.1296587334289292,6.309351686634618,33.48983943537715,3.558575279568812e-05,0.00767907442305093
ATP5F1B,-1.1947520462404513,9.057756320564236,33.301773113064016,3.666666655647534e-05,0.007732499976762152
TFF3,3.057284288192217,7.30703226249506,32.73059590805712,4.018487448609418e-05,0.008129045307635953
NDUFC1,1.1106134599795423,7.9059807442912335,32.71300065734142,4.0299179238199574e-05,0.008129045307635953
ATP5MF,1.1353152644945563,8.726499280869268,32.49805617728431,4.1725721262739026e-05,0.008237722714828838
UQCRQ,1.2468821350000645,9.646519974981198,32.18335859404588,4.391884497308162e-05,0.008329425341605594
CEBPZ,1.5271168038294092,5.576555862121575,32.09017855506355,4.4593094848941084e-05,0.008329425341605594
POMP,1.3169900991064598,8.416414592940676,32.05057634631622,4.488320584979843e-05,0.008329425341605594
C19orf33,1.097963228303616,8.711354233072624,31.670585322269627,4.777842943048723e-05,0.008692863660499824
UBE2D1,1.1674434591380167,6.480390141865731,31.368020188696512,5.0235711524172266e-05,0.008863980434601215
SCOC,1.191857477803352,6.56659467829804,31.321098555777283,5.0629481952135406e-05,0.008863980434601215
TSPYL1,-1.235461637435799,6.324890925192366,30.462619061396328,5.84898711550485e-05,0.010050509526809167
EIF4A1,-1.1610555243164926,8.86968645045239,30.17190842024154,6.145879441243386e-05,0.010368657333690433
CGN,-1.3707752463184144,5.8074880587988655,30.05969399583725,6.265024997179384e-05,0.010380922669433483
SEC62,1.0809080020925574,8.155716079620206,29.389946575620424,7.033078554729797e-05,0.011449111563041717
RALY,-1.1579529386568916,6.636694248383836,28.972008412986376,7.566348308919716e-05,0.011903223836456596
SLCO1B3,2.2381928980589203,3.871340328957228,28.970316809917055,7.568597977701682e-05,0.011903223836456596
ZMPSTE24,1.191298681289822,6.1063862908977455,28.493935924235704,8.23343975841511e-05,0.012373137549381604
EIF4H,-1.1423538240574675,6.0734016096627546,28.440858243367046,8.311534638823661e-05,0.012373137549381604
MINK1,-1.597323020134314,4.914011598826701,28.396260659032194,8.377802699286353e-05,0.012373137549381604
SNRPF,1.1083539829102942,6.076564015609249,28.380895715738124,8.400772341966172e-05,0.012373137549381604
GCLM,1.2416064407783018,6.228649673992375,28.22274034514146,8.641404956789638e-05,0.012406192198304147
FLNB,-1.2067997852649925,6.301209683193713,28.191010352150805,8.690618524515245e-05,0.012406192198304147
SLC16A3,-1.051077850458977,7.8587627940625255,27.822146059641213,9.286698417321755e-05,0.01290937311855609
DBN1,-1.4004068670611236,5.666725901858495,27.80153548690143,9.321349271939411e-05,0.01290937311855609
ACSL3,1.0340150308897078,8.472128894457626,27.625939254178196,9.622588700592907e-05,0.012976318811695432
LSM5,1.1937977903023869,6.264481682884789,27.52623174594273,9.798549110263029e-05,0.012976318811695432
