,logFC,logCPM,F,PValue,FDR
SEC61G,2.2567485359968384,8.513025052769345,53.44471281316942,6.579376190932436e-06,0.022244870901542566
MT1E,1.894011715922038,6.836417337799306,37.00418605756169,4.208280050218525e-05,0.03105073596005519
COPS9,1.8330182917649283,6.825019980522364,36.83420759509645,4.303277515151918e-05,0.03105073596005519
MT1X,1.794230853695882,10.354790644697351,33.52981843407241,6.751221042052919e-05,0.03105073596005519
ATP5ME,1.684784734892386,7.356436786481561,32.59184365132998,7.718456555059562e-05,0.03105073596005519
CRABP2,-1.623686157909913,8.732150033674996,31.635115691614203,8.874330650816138e-05,0.03105073596005519
RPL39,1.5447442037744015,10.715600720231992,31.307781733637725,9.314972883047188e-05,0.03105073596005519
SNRPG,1.679262281706669,7.631209951031886,31.105657338258865,9.599710969544046e-05,0.03105073596005519
MT-ND3,1.6956952900151572,10.778267961058962,29.711697210745736,0.00011862514916001933,0.03105073596005519
TMA7,1.4858417597886993,8.438900346326053,29.535567017742576,0.00012190257943278758,0.03105073596005519
ATP5MD,1.5992228525984646,8.377244251605774,29.43370506166853,0.00012384585564874197,0.03105073596005519
MT2A,1.6963788411419336,9.695469546771434,29.304174380435448,0.0001263690331184802,0.03105073596005519
COX17,1.4195770321558037,7.427583943475179,29.053762861033082,0.0001314176681202892,0.03105073596005519
ROMO1,1.4603935952854419,8.278184904856646,28.442702053221822,0.0001447496894352211,0.03105073596005519
PLEC,-1.7356654375274156,7.1880372518821405,28.43571926722828,0.00014491084966015478,0.03105073596005519
PI3,1.9262780965324464,7.625194749430122,28.348465630436056,0.00014694225831436944,0.03105073596005519
CLDN10,1.5768822162382878,8.126765570340575,26.232493447885837,0.00020796867577770593,0.041361299576730806
EDN1,1.6892993814231247,7.618362204035157,24.878232359257332,0.000262479176044812,0.04930233856708386
FKBP8,-1.4975467442050967,7.1570445566684375,24.56053939127812,0.00027756301905239815,0.04939160881137675
AHNAK,-1.4784390379441958,7.6780089930640365,23.473405207087882,0.0003373412612143104,0.055657385883384106
PET100,1.7843814895085501,6.409540736574193,23.33937630903147,0.00034569804896511866,0.055657385883384106
RPS21,1.3455423916085185,9.221964396429314,22.941753490840078,0.000371938248149758,0.05716014622701508
SLC5A5,-1.3881463029426258,7.0320219574559495,22.69400749222157,0.0003894544837532836,0.05724980911173269
NDUFC1,1.2241373812221954,7.8075785859658025,22.08783783074997,0.00043649868390807325,0.06054631134820563
NDUFA1,1.3080638080032994,8.112396727098707,21.95469650030426,0.0004476952924297961,0.06054631134820563
NDUFA3,1.3899361963021861,7.32017346998734,20.938959518213096,0.0005449943040283346,0.07032406600928306
FLNB,-1.319024504267824,6.738488082108571,20.7867725242687,0.0005615941384947183,0.07032406600928306
MTLN,2.0385469193668864,5.5654028720049435,20.549326766897966,0.0005886790674287202,0.07090301639687495
POMP,1.2188678944815465,8.386397490063992,20.265407073381386,0.0006230772642609953,0.07090301639687495
SELENOK,1.1081314713140513,7.38740972653294,20.099735591821123,0.0006442245738552971,0.07090301639687495
FN1,-1.6150643826132263,6.946038912991931,20.054811760243517,0.0006501015996164222,0.07090301639687495
