,logFC,logCPM,F,PValue,FDR
S100A9,-2.3009918573678587,11.100704243706808,73.67848392853463,1.5305014297705006e-06,0.003362492515128189
IGFBP5,-2.1269207538799004,7.710360860068377,71.81059298727634,1.7544964858482594e-06,0.003362492515128189
CXCL8,1.972434462550213,9.515953166132753,56.3740367461557,6.203525960340233e-06,0.007926038335328038
KRT13,-3.5604630464063396,5.760712431379641,52.87711929880942,8.5962841636137e-06,0.008237389299782828
CCL20,2.10004631171468,9.138590283310156,49.333528064321314,1.219002342693772e-05,0.009344871959090457
MTRNR2L12,-2.019079442582781,10.33713363469665,46.40588128222987,1.6527330718922042e-05,0.010558209774271365
RARRES1,1.9694166062075658,11.393299130738436,38.134656005081624,4.282316548824499e-05,0.023448741902349003
RPL39,1.483329650189048,11.35261053802646,34.10113920554861,7.233358046845955e-05,0.03465682674195068
ANXA2,-1.4181560374467843,10.975730166954067,32.44195059512789,9.098562765423673e-05,0.037165224882247584
CXCL6,3.3954902734773595,7.566577790560041,31.992844798865615,9.696119197038243e-05,0.037165224882247584
TFF3,3.713972041150198,5.89023723138346,28.787233416085595,0.00015581930870321245,0.053962860844212014
BCL2A1,3.677456436113261,6.034858437602189,28.146477135157216,0.00017210681657951697,0.053962860844212014
RPS9,-1.2455456885987009,9.855239267359854,27.755424024259845,0.00018302039941945112,0.053962860844212014
NONO,-1.5025344030912224,7.497385986198285,24.594171520502535,0.0003082299231636223,0.0715141965919362
SEC61G,1.4570151019939832,8.52252966310407,24.145113239354863,0.00033317045910207454,0.0715141965919362
NDUFA3,1.6400684527320555,7.866969567567453,24.0860421764381,0.00033662316778304677,0.0715141965919362
DEFB1,2.1867765430366264,7.214016125754115,24.078865883856594,0.00033704545521914586,0.0715141965919362
MT1E,1.4860116154897547,7.882635431512873,23.996926703533326,0.00034191115777876366,0.0715141965919362
ATP5MD,1.2043777290866102,8.826794099126204,23.791201139392744,0.00035449249549877063,0.0715141965919362
MT-ND6,-1.3086523458947745,9.729077519453499,23.230051032525292,0.00039164789816787765,0.07370854448068942
PHLDA2,1.264812031756116,9.013205879299711,23.05945555670306,0.0004038297506116561,0.07370854448068942
CALR,-1.1572719062728665,9.427600364353493,22.444148637103535,0.00045159003230614737,0.0786779751203905
RPS18,-1.1284235761742283,10.865226620686022,22.202689673421805,0.00047210890367048827,0.0786779751203905
HLA-A,-1.0787000211391826,10.22025503826457,21.09444446619369,0.0005814047259726323,0.09285517977721248
RPL3,-1.058020903859369,10.171780891405884,19.898803413629988,0.0007339569241473061,0.10341247819160002
