,logFC,logCPM,F,PValue,FDR
IGFBP5,-3.759183538568854,5.939862182431716,27.865129390543693,6.410474726725946e-05,0.1973130023717608
IFI6,-2.398760501922047,6.982047383115151,25.941585489405842,9.384685011736543e-05,0.1973130023717608
PTGES,1.5009160387180915,7.134696977469846,18.74809472221884,0.00046752886248004635,0.5551068318267469
CRABP2,-1.5947868385825494,8.048279947430691,17.666497056803408,0.0006131869972575266,0.5551068318267469
SLC2A1,-1.4420910142647432,7.087664317348027,17.37893781995322,0.0006600556858819821,0.5551068318267469
HK2,-1.4436167624558616,5.898295963532604,15.875047490605043,0.0009812507894893063,0.6216669182898817
NFKBIA,-1.1164742640730347,9.900830920240837,15.678778334371172,0.0010348795310414203,0.6216669182898817
LYPD2,-2.3908193994534925,7.1544922622783735,14.27005104723591,0.0015325179593121594,0.6414089954422847
LMTK3,-1.2269275129994874,6.383671552551606,14.199051946843936,0.001563955697001748,0.6414089954422847
GRB7,-1.4851466228193404,6.573002428207708,14.011663687902036,0.0016504724074800103,0.6414089954422847
HIST1H4H,1.574130622091428,5.571682160282046,13.946837224636578,0.0016816463086079768,0.6414089954422847
CDK5RAP3,-1.2824876501676805,5.75278500028242,13.592464348435925,0.0018642207604289921,0.6414089954422847
SCAMP2,0.9003329925430923,6.724018107557628,13.289907825844374,0.0020378789729385053,0.6414089954422847
TACC2,0.9904640219175523,6.95846496119336,13.132330379544763,0.002135487737501067,0.6414089954422847
FOLR1,1.150322171843831,6.620197406055134,12.383776239564622,0.002677258405851859,0.7218137817479211
SLC38A5,-2.0285000071681503,5.115929701796569,12.300579180079207,0.0027464971481490456,0.7218137817479211
PORCN,-1.1916319214832183,6.6079091613735015,11.875019873950187,0.0031337765279919353,0.7329795469410979
SCGB1A1,-2.4208206848299763,8.77194417457441,11.64450422446185,0.0033690377708093483,0.7329795469410979
MRPS23,1.1928592171432593,5.6582506805921255,11.57244301719121,0.003446620019592754,0.7329795469410979
MUC5B,1.207825725598821,8.752880105685362,11.47576330564775,0.0035538910112609947,0.7329795469410979
TNS4,-1.1560236202241894,7.17337719535088,11.284363101466425,0.003777551826074505,0.7329795469410979
ZPR1,1.0596869028662825,5.721300592711781,11.141266695832192,0.00395515393547337,0.7329795469410979
RIC1,-1.2529792551404033,5.544574955670787,11.099184003520067,0.004009162801342509,0.7329795469410979
MRPL2,1.0430849423797772,5.444127136140796,10.806696298442798,0.004408377111307274,0.7567118842816647
SLC25A6,-0.9504955805270081,9.123696805990132,10.645992440201006,0.004646706947733733,0.7567118842816647
THBS1,-2.432775056560407,5.358932189677136,10.591947225463766,0.004730100278349589,0.7567118842816647
RPL35A,-0.6292949706651837,10.201918042778761,10.474605191962828,0.004917044364879758,0.7567118842816647
ANGPTL4,-2.0245781572974417,6.7872857256060914,10.334808230247464,0.00515074291865882,0.7567118842816647
EIF4EBP1,-1.1065950666812074,7.537281197230343,10.042399813395415,0.0056812754657605815,0.7567118842816647
PRPF19,1.0141709178936003,5.37837087434498,9.94110573764337,0.005879249895559273,0.7567118842816647
PPP1R10,1.1311398831597534,6.1884029187151395,9.809196855818215,0.006148851026458303,0.7567118842816647
EFNA1,-1.0024173062284507,7.673752864916492,9.741480039680004,0.0062926633980564025,0.7567118842816647
HDAC7,-1.276976621665862,5.6175559824534,9.661338453942362,0.006467799276544612,0.7567118842816647
LY6D,-1.7833922902898731,5.527945874253972,9.503272732940065,0.0068296239387446965,0.7567118842816647
SLC3A2,0.8042601178097436,8.205240197870605,9.420059549864055,0.007029268225125431,0.7567118842816647
SFN,-0.978652203818277,8.10641133239245,9.406922160506769,0.007061386748159462,0.7567118842816647
BST2,-2.0549264589427843,6.1370805572888445,9.380860785988077,0.007125594567040113,0.7567118842816647
NDUFB9,0.6811120583029306,8.21545335857211,9.34847447826966,0.007206307452986652,0.7567118842816647
ABCF1,0.9510046349074865,6.054572522961502,9.322311612543226,0.0072722659734483115,0.7567118842816647
RPL30,-0.6423660310566438,10.517574615420525,9.22163340469459,0.007532532609825312,0.7567118842816647
OCEL1,-1.2983718130591706,5.30602096851096,9.20073142684022,0.007587878761905957,0.7567118842816647
IGFBP4,-1.5733363254499109,5.10849886578576,9.162013255893765,0.007691620322411129,0.7567118842816647
EIF3F,-0.756924756758388,7.814153306110019,9.1448661789839,0.007738076343427248,0.7567118842816647
HCCS,0.9081958042792241,5.851855147509888,9.011760892419472,0.008109691631910734,0.7595264346368292
DGKH,-1.2835095863649078,5.445731082975193,8.968864468746107,0.008233726780826211,0.7595264346368292
DEFB1,1.9990449961166696,6.744468313280684,8.890330701200043,0.008466414037544952,0.7595264346368292
SH3GL1,-1.0439654012887731,5.742898681594966,8.795283597297828,0.008758049883312793,0.7595264346368292
SIGIRR,0.8414792268103651,6.01555214541307,8.746228551969052,0.008913007245940572,0.7595264346368292
IFI27,-1.3096736515711325,8.504020458799321,8.735007879399854,0.008948886539281449,0.7595264346368292
RBM42,0.9442118651498902,5.991017837036077,8.709447850035467,0.009031229900556829,0.7595264346368292
GADD45A,-0.7815755463701252,8.19797778439696,8.6386459012997,0.009263841310543567,0.7638127982516804
ABHD11,-1.0908679824744276,5.794988541822774,8.559875073533018,0.009530647439560625,0.7690913472440836
CEBPD,-0.8453772766090261,7.174418155152324,8.43730526940327,0.009963306971365899,0.7690913472440836
