,logFC,logCPM,F,PValue,FDR
ALDH3A1,-7.076772118529882,7.816644550302968,28.72003173535449,0.0005071982821502229,0.9991238199677019
RPS4Y1,-9.993375492032836,8.606484429069626,22.608039514848436,0.0015814074553549746,0.9991238199677019
KRT15,-7.6160074547933565,6.7557235441307535,17.77245786771497,0.002414944562743375,0.9991238199677019
CSTA,-6.48036631027162,7.300906975807886,17.27361303075403,0.0026332083620899858,0.9991238199677019
AQP5,-4.73708834544543,7.617603322145179,15.063654265707138,0.003951147709449963,0.9991238199677019
CYP4B1,-6.243070973336506,8.438860081251844,14.475502319829552,0.004431818663442432,0.9991238199677019
TFF3,5.030535799981426,7.8458240139740205,14.319112867148796,0.0045715963278536755,0.9991238199677019
CYP2A6,-6.513276085537566,8.128589351407552,12.795976919472086,0.006263481049894269,0.9991238199677019
CCL20,-5.936916360184764,6.785248522178366,12.255842988313159,0.00704443164145431,0.9991238199677019
CCND1,-4.017802098575964,7.621149960793616,10.555730883377585,0.01043233917751159,0.9991238199677019
TMEM190,-4.827438324997846,7.860330368007963,9.526820258297722,0.013486002103621558,0.9991238199677019
PSCA,-6.9573668641613615,11.76348480260978,9.3055555935557,0.014281747051380229,0.9991238199677019
BPIFA2,-4.612907996664049,8.313494531344277,9.085724845367126,0.015130789963718541,0.9991238199677019
ZFP36,-3.4174066067090654,7.644686480244602,8.343802409827628,0.018500124069421066,0.9991238199677019
S100A2,-4.029153464533654,9.85888865648921,8.284616381747654,0.01880727324666286,0.9991238199677019
LYPD2,-6.81912491708197,7.353534675938635,8.505228484291107,0.020144822264992604,0.9991238199677019
TCN1,-4.184939339132894,6.582521032066702,7.49993132271418,0.02354724573051731,0.9991238199677019
ADD3,-3.6592278726962717,7.082257868568267,7.055390945815003,0.026897559482414533,0.9991238199677019
CYP2F1,-3.690304520195955,6.870719703642479,6.971998781106658,0.027590778795029868,0.9991238199677019
ATF3,-3.6187837998580004,7.005841241862158,6.8953290866578865,0.02824786723641698,0.9991238199677019
CENPU,-3.4113084373221514,7.105847491346592,6.835052752453659,0.028778201588918008,0.9991238199677019
FAM3D,-3.3474986119321537,7.4672788943012876,6.6512477518025195,0.030473909488976925,0.9991238199677019
AREG,-3.7255980994704783,6.795847794528217,6.527976635903141,0.031681342497642186,0.9991238199677019
GADD45B,-3.0331709193496663,7.536510876193062,6.504868132315591,0.03191429419057816,0.9991238199677019
AKR1C2,-5.132941542956827,9.21684846588165,6.34503624770748,0.033585485335284965,0.9991238199677019
ERRFI1,-4.5009207743838715,6.568956266988014,6.185999932134843,0.035358281180468534,0.9991238199677019
KCNK1,-3.5846192758655855,6.759987038926535,6.111276463607204,0.03623159096874017,0.9991238199677019
RRAD,-5.4008793619201105,7.376876341803956,5.997942979800716,0.03760828039206907,0.9991238199677019
HYDIN,3.2757692278860584,7.7146577882031515,5.980115668938855,0.03783075129804253,0.9991238199677019
LINC00342,-3.087426641576534,7.751499733836817,5.947435208559077,0.038242871184,0.9991238199677019
C22orf15,4.007726768491788,7.620933163482769,5.827992041443881,0.039797756443533214,0.9991238199677019
PHLDA2,-3.221925020589772,7.354528646652514,5.63914803595943,0.04242125996537409,0.9991238199677019
HLA-C,-2.9830575283600753,9.803386031400994,5.624292343491271,0.042636712832835544,0.9991238199677019
S100A10,-2.9420671877528863,9.54568786933807,5.505264494365457,0.04441348237488274,0.9991238199677019
IFITM2,3.3011066394698254,6.731085833362521,5.329618469249103,0.047208639112821034,0.9991238199677019
KLK11,-3.100952180774693,7.879122473896877,5.178859430989511,0.04978599287755538,0.9991238199677019
SDC1,-3.3160190177114686,6.891210860069832,5.154933891862634,0.05021113326866793,0.9991238199677019
A4GALT,-3.4149196922692986,6.748547009035359,5.050552507531075,0.0521202292483359,0.9991238199677019
SNHG8,-6.313812691287134,6.378054496110922,5.158871500508663,0.053917468719372294,0.9991238199677019
NR4A1,-4.7296849435366815,6.194114485678166,4.86883974237281,0.05566695679430872,0.9991238199677019
ERO1A,-3.77029550078846,6.626153956963144,4.864112811956792,0.055763212078442294,0.9991238199677019
CENPS,2.7851310821829642,7.481128062056391,4.833778456359251,0.056385933226339946,0.9991238199677019
CFAP44,3.609929660918979,6.485794262818797,4.813622920137223,0.05680454885156261,0.9991238199677019
LAMB3,-3.295258423907891,6.714450444704282,4.805872557491666,0.05696656055908155,0.9991238199677019
ARHGAP18,2.8279957725750986,7.3635460490185025,4.760348073165499,0.057930046163075226,0.9991238199677019
SIX1,2.9937101781801827,6.565534688048376,4.725763798744496,0.05867575961155691,0.9991238199677019
CFDP1,-2.9165469492012686,7.157319398032495,4.715775981074771,0.0588933695182459,0.9991238199677019
LDLRAD1,4.045723596144643,6.97316039262166,4.688432994058986,0.05949433711561066,0.9991238199677019
DNAH3,3.0356707625237314,6.891957040701082,4.683656677303717,0.05960010770963275,0.9991238199677019
SURF2,2.722705727206417,7.079724233428706,4.660486584683409,0.06011658595715679,0.9991238199677019
C19orf33,-2.855159212282046,8.569575265800523,4.623807777502567,0.060945789287638594,0.9991238199677019
FARP1,3.3306549621696155,6.305648144473655,4.610030454271385,0.06126098309282363,0.9991238199677019
GBF1,3.3154020343792054,6.446325536032728,4.532736613204148,0.06306798583061683,0.9991238199677019
KLK10,-3.0749059010117095,7.262000976186137,4.520150171698414,0.06336858145507426,0.9991238199677019
S100P,-2.605537902574133,8.923951192215362,4.426860214624902,0.06565400264173174,0.9991238199677019
CCDC60,2.8255541385804275,6.656655514570463,4.390872529701328,0.06656344584968187,0.9991238199677019
EMP2,-2.5085333315960456,7.20483848267967,4.267280076624789,0.06981074500384818,0.9991238199677019
RPS2,-2.613497908405107,9.784225778427075,4.219513096559164,0.07111943400716322,0.9991238199677019
C4orf47,-3.01616984801201,6.886226475428755,4.17354214029606,0.07240842291657701,0.9991238199677019
CLDN3,2.414771449691378,7.070657550682061,4.129496448032209,0.0736713502481793,0.9991238199677019
RHOBTB3,-2.9557951258616226,7.4130469674482855,4.112555563303456,0.07416453496273792,0.9991238199677019
THYN1,2.686514450936633,6.6576484194811885,4.072903364443991,0.0753353843744618,0.9991238199677019
PDIA4,2.4030083211934703,7.408506742173787,4.065265965136938,0.07556359091407323,0.9991238199677019
THOP1,3.139580034777694,6.517451593438692,3.9787516858388425,0.0782110204592522,0.9991238199677019
ISYNA1,2.4106077153055345,8.57493339674629,3.974890854278632,0.07833189298504967,0.9991238199677019
HES6,3.058849035855826,7.388656593112274,3.8805038079172123,0.08136224775219249,0.9991238199677019
ENAH,2.5776295315897655,7.062435324982145,3.8346923356819733,0.08288685651686245,0.9991238199677019
PFN2,2.44967797354629,7.383797009869587,3.805059409132384,0.08389245790654112,0.9991238199677019
TPM1,2.8965432013930026,6.5748588015239795,3.8009204769970824,0.0840341484655957,0.9991238199677019
EIF2A,-4.32915111454188,6.160400621609023,3.7688332743383293,0.08514302396277214,0.9991238199677019
ABLIM1,-2.5443844298938605,6.922029414332392,3.7030785425604287,0.08747432244370279,0.9991238199677019
CSNK1D,-3.2453192518224463,6.696843530800853,3.698758441752181,0.08763032454302551,0.9991238199677019
UFM1,-2.5735365182699925,7.056978311907066,3.676813186790294,0.08842829181522928,0.9991238199677019
VSTM2L,-3.3585117793266654,6.64818820707254,3.5964869925684333,0.09142945342398374,0.9991238199677019
TBCB,2.149983965390618,7.407476250855035,3.536674229159606,0.09374918212097058,0.9991238199677019
KRT17,-2.6622759992079863,7.7970632458569815,3.5269077236176214,0.09413508145677388,0.9991238199677019
DNAH9,4.384127489461662,6.432934595428952,3.4880763083354247,0.09568967642100878,0.9991238199677019
IRF1,2.5751652927943316,6.997548058911133,3.475056277185044,0.0962182783226261,0.9991238199677019
PNRC1,-2.5158684394940445,7.031835566032548,3.4743503891864336,0.09624704352861772,0.9991238199677019
STIP1,2.579233750150408,7.9713493923057674,3.4703560753134592,0.09641002106222651,0.9991238199677019
SERPINB3,-3.2724864298428544,9.952694009902205,3.450256720408601,0.09723551081396402,0.9991238199677019
FAM92B,3.1493001668084704,7.977182788941876,3.4373833004994063,0.09776899073264383,0.9991238199677019
SNHG5,3.1901819481420084,6.423133549353585,3.4143387297467696,0.09873337362113659,0.9991238199677019
TAX1BP3,-2.576988328972694,6.704596744982095,3.4001314585461264,0.09933401153647474,0.9991238199677019
SQLE,-2.5179376937071254,7.511420672655028,3.3936987887363887,0.09960750568217472,0.9991238199677019
CFAP97,2.4015321954921434,6.93179009380646,3.375290018066995,0.10039553792552851,0.9991238199677019
NAE1,2.964241175412495,6.296507535500768,3.3311651573857084,0.10231725188733899,0.9991238199677019
SETD5,2.5708983188835033,6.559833986325693,3.3204409144665012,0.10279143166558813,0.9991238199677019
DUSP1,-2.2460183707556847,8.561283562994355,3.3100599457464,0.10325312579714553,0.9991238199677019
CYB5A,-2.943702475176047,9.4492887562599,3.2299183870370514,0.1069087164956222,0.9991238199677019
KLF5,-2.133816017585951,8.004485076263121,3.2019567602598653,0.10822327270644773,0.9991238199677019
BAIAP2L1,2.6883240349012816,6.48303056952365,3.1827925497924956,0.10913627699586831,0.9991238199677019
IMPDH2,-2.372482328369152,6.862526437146539,3.1800019099270664,0.10927005267106077,0.9991238199677019
ASPH,-2.236165936493675,7.4090756351273805,3.157961367969245,0.11033407674588858,0.9991238199677019
MT2A,-2.452974820139997,11.743349286083081,3.1437218365127224,0.11102860930632934,0.9991238199677019
GPI,-2.2670646504058807,7.130710430108897,3.1186188014336245,0.11226679885038884,0.9991238199677019
CENPK,3.684794136776546,6.706692880555442,3.107220912728074,0.11283487189372106,0.9991238199677019
ASS1,-2.782834721562014,8.457535830923607,3.059191200773491,0.11526985640062894,0.9991238199677019
KMT2A,2.417497424500016,6.7315942851921085,3.0487323914099176,0.11580906633522989,0.9991238199677019
DNAAF2,2.0696526440179133,7.377525305340071,3.0485870428330135,0.11581658280129947,0.9991238199677019
COMMD3,2.51051470592185,6.667213988546317,3.000357983708338,0.11834589269650646,0.9991238199677019
SYS1,2.2236286705749557,6.7770547729777935,2.9745418862245754,0.11972917346582235,0.9991238199677019
HNRNPUL1,-2.2036140776961672,7.360956858088688,2.960403582279166,0.1204956085511469,0.9991238199677019
IQCB1,3.4287111084319006,6.253580243631866,2.9360706213050745,0.12182963763287058,0.9991238199677019
S100A14,-2.1125984598619576,7.699246862230274,2.8730091224412067,0.12537715374006445,0.9991238199677019
MYO10,-3.0676691657178936,6.492034622375438,2.8634915544062007,0.12592415085678932,0.9991238199677019
FXR1,2.135621052603055,7.551508316833678,2.8539891115885765,0.12647337357396524,0.9991238199677019
BTG1,-2.3956116050482894,7.124126071619454,2.8450688680443905,0.1269917802770472,0.9991238199677019
LYRM2,2.449503554969892,7.067288877704222,2.8247858093391183,0.1281808611802791,0.9991238199677019
OAT,-2.4254469217147148,9.117990797453881,2.809986909871312,0.12905758012473387,0.9991238199677019
SRPK2,-2.8133017748772153,6.540528225488964,2.781561635756994,0.13076354673990156,0.9991238199677019
CAV2,-2.26252304036985,7.166953978233862,2.760784749232729,0.1320290890457751,0.9991238199677019
