,logFC,logCPM,F,PValue,FDR
FMO2,18.569861244858462,5.765966064507166,40.511075116541306,1.4270054614773735e-05,0.07694413448285997
G0S2,7.498733707021268,7.258551142068548,31.958130436704526,5.041345856618245e-05,0.13591468429442788
TNC,3.940974402869955,6.349306035859214,15.448859656477671,0.0013949784489293673,1.0
RNASE1,-7.042840955008791,4.853426849798715,14.15628327685344,0.001957648890629517,1.0
KRT14,15.513661680109164,6.701311810365045,13.980353936130184,0.0020526969536081813,1.0
INSIG1,4.856149980363508,6.517991942975717,13.51569484447511,0.002330158885838068,1.0
KLK8,3.7175306227447042,8.817282668000237,13.239135152745206,0.0025155716115945518,1.0
CES2,3.9749604605606264,5.503905784989351,12.394448145309296,0.0031953132869230916,1.0
AC019349.1,18.84153022251353,4.690217821297203,12.37922910753814,0.003935082628897386,1.0
ANKRD37,4.9679976134407555,5.27757364598522,11.10660480877327,0.0046785970783583585,1.0
GCHFR,4.561391132949481,5.751965787664013,10.612391338244285,0.005447292151524672,1.0
ARL4A,3.9705611808682524,5.345979167095779,10.287061824789252,0.006032327842367791,1.0
BPIFA1,-6.9131161286434715,10.288312852973542,10.18472318153357,0.006231028728718901,1.0
NDUFA4L2,-5.809852881956651,4.744966490119581,9.79885994051753,0.007050818755956757,1.0
POLB,-2.9600968543418693,5.55206202166355,9.77833566380387,0.00709777730243452,1.0
AC022075.1,-3.8583548545699498,5.761531042442961,9.386129174677587,0.008067924017211688,1.0
ISYNA1,-2.639329245807049,5.8710422434396285,9.142428202573837,0.008747296684244848,1.0
DEFB1,3.435876923658965,7.160781701146667,9.123143298783505,0.008803806853203852,1.0
SHOC2,-2.5477556777132517,5.985595687659269,8.806966110837863,0.009792847421598909,1.0
CEACAM5,5.0211009964762106,7.636451310670001,8.635757545128167,0.010381441657764945,1.0
HOPX,6.547973533939324,5.690212761798899,8.581448176515662,0.010576577613591983,1.0
PRSS27,4.261520279541738,5.041727082695235,8.509187017947808,0.010842792863764454,1.0
CPM,2.435038589259903,6.108121396084605,8.422114147279146,0.011173878546704322,1.0
NUPR1,3.6409346659240196,7.451733910614818,8.353063114192482,0.011444724147879065,1.0
DPP3,3.0562513849795767,5.743862076580624,8.291300148738138,0.01169340094236592,1.0
IL1RL1,4.65452602845736,5.1412929301361,8.285224501614412,0.011718197632034678,1.0
FOSB,3.550858872046818,5.706534698009194,8.2644860999642,0.011803294862764052,1.0
GSKIP,5.025887624594176,4.953485360711193,8.249387322853549,0.011865698266302056,1.0
SS18,4.434655467993328,5.068226760960774,8.063317083098756,0.012666767996442596,1.0
BPIFB1,-2.907375415416155,9.341848754893403,8.048624188031871,0.01273263371356414,1.0
SERPINE1,5.772448820094771,5.4146117101886935,7.963270730379227,0.013123152924294581,1.0
MRPS6,3.755408683689108,5.728089615168596,7.9538452918719775,0.013167117271894313,1.0
AGGF1,2.9856620532557723,5.516932733671866,7.833461052568431,0.013743835226858592,1.0
ATP6V1A,2.49957157116058,6.034760945709966,7.82724156473199,0.013774412534287062,1.0
