,logFC,logCPM,F,PValue,FDR
AZGP1,2.418701807256325,5.424721976319938,55.557695857792744,5.811278151450541e-07,0.005179011088572722
BPIFB2,3.3100226281054503,5.035326311176987,50.0423828116615,1.6493388039380596e-06,0.007349453710347994
RAMP1,1.66034556295966,5.260181948889454,44.6462475745937,3.450365576676176e-06,0.010249886006446026
ERRFI1,-0.72205574659283,6.883899959221276,35.208159440218104,1.186267485661165e-05,0.026430039580530754
AKR1C1,-1.1031997461005913,7.550917264466281,33.21270484942593,1.6960618580827698e-05,0.026754214194224527
PLA2G10,1.4287602507803434,5.452674446798644,32.60523022142942,1.89647072405189e-05,0.026754214194224527
TMEM45B,0.830670327514528,5.977040412502352,32.053593812912744,2.1014306481100954e-05,0.026754214194224527
HLA-DQB1,1.6016960381780336,5.8428733082443545,29.48492797908436,4.175008564788869e-05,0.046509595411748
ZBTB16,-1.5056706357637664,4.078761287028602,27.205479078336147,5.464712648835347e-05,0.054112799029356236
IFI27L2,1.6982336720475404,5.21386798954294,25.708455451895947,7.501079704738843e-05,0.06684962232863258
CEACAM5,1.4109409362006988,5.368466619947866,24.691217076523685,9.363286613174167e-05,0.07108950787209366
DNAJC15,1.681628731334629,6.778861631633268,24.59135436837776,9.57219585351351e-05,0.07108950787209366
FAM3D,1.1459883276479013,7.409185901816045,23.469046588963344,0.00012312899320653892,0.08440966057359038
MSLN,2.337301568566936,3.561794152300865,22.7469194427519,0.00014533586822053978,0.08814369577739459
UPK3B,-2.536071929177638,3.742797577573038,22.658251708302256,0.00014835675905082123,0.08814369577739459
SCPEP1,0.6795504148390358,7.229518961425175,21.85904038466736,0.00017896875543165432,0.09282655239167532
DEFB1,1.0514874056262606,5.687593958382659,21.631264630937142,0.00018893470155060125,0.09282655239167532
PPP1R14B-AS1,0.9706344602164388,4.588043090018509,22.029489106843187,0.0001978030954541105,0.09282655239167532
KLF10,-0.6495827366662493,5.298007383493046,21.323470140602666,0.00020339575852098418,0.09282655239167532
CRYM,0.9368330485238502,5.732849098699473,21.068536425742757,0.00021630791038066758,0.09282655239167532
PF4V1,1.6187110966937996,3.441822930094155,21.447441036980994,0.00022623192545077075,0.09282655239167532
CFD,1.408755988230136,5.0645137472572825,20.83124167461146,0.00022914992735826497,0.09282655239167532
LY6D,-2.049652322484059,3.213036416355018,20.528389963565,0.0002809085087836781,0.10786693163064791
MTLN,0.8490441971018717,5.78523608521452,19.871327061554037,0.000290485453224366,0.10786693163064791
PIP,1.1617297270460956,7.3350290731121,19.58512890343228,0.00031215649026400703,0.11127754564931323
MYEOV,0.9638323630996318,5.819559123187046,19.18079459160248,0.0003459020636541042,0.1185645842802068
CYP2A6,1.8642722658261945,6.257571171220575,18.80125356198661,0.000381305538486798,0.12585907255534606
PPP1R3B,-0.913691250251735,3.8791002181468146,18.304229785177927,0.00043391367536148746,0.13810852410077057
LINC01559,1.1399898875190468,3.9953771596659142,17.487270750677073,0.0005998188429004015,0.18433053544580616
FAM118A,-1.2025583194008627,3.9613233913145978,16.66830050706957,0.0006732125790953385,0.19998901682992187
ATP12A,1.3673976192328916,6.997520898857175,16.208627686574623,0.0007647170973044372,0.2051466411913649
VSIG2,0.6480998149357493,6.947557989473949,16.139922820062548,0.0007795476018951926,0.2051466411913649
