,logFC,logCPM,F,PValue,FDR
TUBB6,2.2957196206808335,5.892683212727139,24.923604476142767,8.454126393368627e-05,0.3065466230235464
GSTA1,-2.4898718120345915,7.601672425913494,18.899349522752257,0.0003582524727283343,0.3482752822798908
SYT8,1.537173653157925,7.6978919719890175,18.694267773177906,0.0003779149755733959,0.3482752822798908
IFI6,-2.172252368872322,7.715854429227892,17.90731382421426,0.0004652995707895733,0.3482752822798908
SERPINE1,1.996492375683068,6.4622131183101965,17.28482647636151,0.0005504226312962158,0.3482752822798908
SAA2,2.0857366630498415,13.143607771419045,17.116636949286885,0.0005762966612463719,0.3482752822798908
ECRG4,-1.7954768796160492,7.950064774850281,15.97398353844425,0.0007924141508637417,0.4014670451604864
BTG2,-2.1987291188457836,6.793712581136435,15.583932558495878,0.0008857518922459712,0.4014670451604864
HBB,-1.4760543165301143,7.174101995073835,15.421687013381534,0.001118317744893148,0.42388977218027585
MRVI1-AS1,1.567651994714787,5.767666469083277,13.751596294434556,0.0015238778140847157,0.42388977218027585
GABRP,1.5839321232960604,6.027144940382964,13.701607873633106,0.0015473376660792289,0.42388977218027585
PALMD,-1.7047519822105666,5.930081504455509,13.665696703062446,0.0015644391430778021,0.42388977218027585
ADH7,-2.273533508359784,6.18371910917789,13.637192503905963,0.0015781631426441058,0.42388977218027585
C3,1.2743156819435715,8.811543432433332,13.266063572902697,0.001769645223958912,0.42388977218027585
IER2,-1.2334901334600965,8.34570018247802,13.10241479548427,0.0018621884988518475,0.42388977218027585
SAA4,1.4078018215432302,7.164215958707987,13.088255130134117,0.0018704457680321052,0.42388977218027585
CAV2,1.4155446148673854,6.389041463745464,12.390189434376255,0.0023328961175082354,0.4818715240611618
CROCC2,1.861871623419768,5.615050121237953,12.117446159675616,0.002547140313443898,0.4818715240611618
TLCD1,1.1882934288798264,6.095728210566832,11.856410995306982,0.0027729129630241316,0.4818715240611618
NUDT14,-1.3740386084687797,6.841159335298406,11.748052465733194,0.0028731173844086812,0.4818715240611618
KLF5,-1.2234749254805202,8.022844491566605,11.647685888709107,0.0029695447758107296,0.4818715240611618
SAA1,1.6091416399964702,13.352084239975868,11.617467864912125,0.002999279737357694,0.4818715240611618
CD109,1.3396809545868984,5.901957259855053,11.513732546216293,0.003103912054903071,0.4818715240611618
SPON2,-1.8436811197263299,6.788761048862558,11.43179250295615,0.0031894419684136465,0.4818715240611618
VPS13D,1.3693981374207351,7.621221273093391,11.045488029738896,0.0036297468604922717,0.526458484645799
MT1E,-1.6378352102251004,7.773458994227574,10.928993101090235,0.003775541583938368,0.5265428378215585
APOD,1.3599179690574559,7.551947591232802,10.667104676456844,0.004127778280458513,0.5543453349978729
LSP1,1.8771512365911878,6.178594757264392,10.392940979177608,0.004536343134024299,0.5874564358561467
ZFP36,-1.1716663926553803,8.673135289264541,9.85207337109816,0.005481825807468986,0.6854172544097428
TPM2,1.6240089609856245,6.887271967196211,9.658582627530707,0.005872053289091553,0.696989979664978
IFI27,-1.355830458598324,9.153348639604246,9.599623709131762,0.005997064052134266,0.696989979664978
SELENBP1,-1.3175540294967467,7.416615975448588,9.520060308969143,0.00617050856516162,0.696989979664978
EGR1,-1.1957073166223842,7.865202762555668,9.429487095787977,0.006374819651642273,0.696989979664978
OAT,1.0573023305953921,7.317286741962622,9.359032732741927,0.006538986655029781,0.696989979664978
LXN,-1.07211733680645,8.421540266047547,9.205849567641344,0.006912505411072674,0.696989979664978
PLA2G10,1.1347854653285014,7.86605634846712,9.16634784981018,0.007012658745444082,0.696989979664978
GADD45B,-1.2598289325010839,7.964208703716296,9.127730563846736,0.007112142649642632,0.696989979664978
LY6E,-1.0340896782188824,8.004035737447673,9.031517455891215,0.007366947433611057,0.7029618787966762
HLA-DRB5,-0.9965189783297423,7.336590282621178,8.769562350282063,0.008114083086289662,0.7452950810116492
SMAD3,1.118552484522235,6.065378593014936,8.734074837687793,0.008221677672494751,0.7452950810116492
MCFD2,1.070779321467043,6.696881132973196,8.6103999345634,0.008609336371587973,0.7614013093506826
HSPA1A,-1.1885085530773876,8.194857350096072,8.443828419581193,0.009164244224960635,0.7911797514216015
PDZK1IP1,1.0697825853012144,7.785475638195617,8.14874715090396,0.010248579659323348,0.8642174382489874
