,logFC,logCPM,F,PValue,FDR
SLPI,-22.703796359042773,11.766541951048305,22.171824680813398,2.8011023443193846e-06,0.0031764500584581822
SERPINA3,-10.169901859596678,11.207531505366823,17.956780927080192,2.443217294482538e-05,0.01385304205971599
PIGR,-11.10822834955042,9.06110686526349,16.66134363913091,4.781451828892569e-05,0.01807388791321391
IGFBP5,17.184261488159525,9.3312881816921,12.7456628982049,0.0003717712406736098,0.10539714673096838
SLC6A14,-8.917561321979834,7.996331024608449,14.544960661089348,0.0011024688334346144,0.23076450456073191
BPIFA1,-7.65591117118145,10.94029236748133,10.511355894204852,0.0012209762146070471,0.23076450456073191
STAP1,10.340752976331743,8.333494085746159,10.091088295586038,0.0015300858860261125,0.23185704369692797
RASD1,15.684424430965851,8.825958192619176,9.75766567631781,0.0018310410004150554,0.23185704369692797
EMC4,-15.872982205625672,8.084708178069906,10.912392665281658,0.0018401352674359364,0.23185704369692797
CHURC1,-8.44680958723413,8.18528143926929,9.223012098083265,0.0024445200212065096,0.2772085704048182
SEC13,-8.755767326490428,8.103212371599302,7.681100276208394,0.007352863040093864,0.7421820179908393
CFTR,6.056815770394598,9.369688426941408,7.013464088213409,0.008202204074845437,0.7421820179908393
ALDH1A1,5.430980707388844,10.100446221486617,6.947489080082773,0.008508259465503449,0.7421820179908393
CBR1,5.967048204316129,9.634663115813925,6.066587971462794,0.013924010265106248,0.9992667718301999
ENC1,5.6887993866276965,8.168178493441655,5.881643001202252,0.015454885371977778,0.9992667718301999
TMTC3,6.071493390001489,8.15313867445814,5.7778712874253175,0.016388894482718738,0.9992667718301999
AGR2,5.414108050964649,10.357326743226281,5.77291918574601,0.016434897008909936,0.9992667718301999
ENSA,10.648519130529392,8.122546124120051,5.835887313300206,0.017940824603728485,0.9992667718301999
PRSS8,8.25246640422759,8.56984497279206,5.559190386311981,0.01855300148250617,0.9992667718301999
SELENBP1,6.449327335717415,8.72826804348122,5.469973801861366,0.019518893287043128,0.9992667718301999
COX7C,-5.021808126942505,10.234032348380536,5.403459006503965,0.02027278319867901,0.9992667718301999
SEMA3C,6.391986072611569,8.212576495218338,5.277081401095855,0.021789435416796676,0.9992667718301999
LMAN1,-8.760195052128546,7.979191137914224,7.518894786033279,0.022324784819156944,0.9992667718301999
CCN1,-7.188625049903021,8.083733789671586,5.697588345656971,0.02347168609199195,0.9992667718301999
EIF5A,5.985596433378828,8.86081107844286,5.034185528443557,0.025044148953704368,0.9992667718301999
MFSD10,12.522295847169204,8.12057497455251,5.242815703355629,0.025413181671612182,0.9992667718301999
MSMB,-4.508431081545555,10.445204006439734,5.001023078903784,0.02552621440957607,0.9992667718301999
ATP5MD,-5.342923921961417,8.911925710960697,4.9935552933985115,0.02563609498457802,0.9992667718301999
UQCRQ,-5.39987677789909,9.555762478906319,4.775181924416488,0.02907687364418844,0.9992667718301999
FOXI1,4.866869248678166,9.27892699300224,4.754508589472628,0.029426647727896844,0.9992667718301999
C3,-4.930939148590205,9.443387128810265,4.745530200850264,0.029579918217073956,0.9992667718301999
B3GNT2,5.207660400985928,8.860761978980374,4.7413007784185455,0.029652407228744224,0.9992667718301999
