,logFC,logCPM,F,PValue,FDR
NQO1,1.0988969002595947,6.970720979771951,19.951708270856884,0.0002953605061025949,0.8512788075681462
EIF4E,-0.850562125316119,6.676182691001688,15.571527406912669,0.0009405601991783328,0.8512788075681462
KRT5,1.1668107151531633,7.10572490018929,15.098717324457825,0.0010762704083353894,0.8512788075681462
DUOXA2,2.512900354881682,5.45577388911213,14.950520993076399,0.001123202828404686,0.8512788075681462
KRT13,1.4072309031010248,6.80506299036487,14.299902989769038,0.0013581398750203708,0.8512788075681462
SERPINA1,-1.209960268759606,7.251555767050627,14.083497220597987,0.001448071043874257,0.8512788075681462
VMO1,1.2560148006357705,8.695099272150195,13.848299748286404,0.0015534284809637705,0.8512788075681462
YAP1,1.136526487710198,5.321604243499666,13.33358448313025,0.0018152166596540167,0.870396388304101
CLTB,0.5805443045378426,7.482441550744828,12.942916233946987,0.0020469259492168494,0.8724453267995371
GPX2,1.4885639987717743,7.036265764237262,12.164941691809972,0.002613674709990673,0.8975357728912797
FN1,1.4930802786774222,6.634749270292705,11.362143750757273,0.0033892809113054445,0.8975357728912797
CFB,0.6586253367497786,10.446460681300323,11.320422002867643,0.0034361276036525153,0.8975357728912797
ITGA2,0.9335942904702109,6.649792590931566,11.193236270266484,0.0035834695453313735,0.8975357728912797
KLK11,-0.7434021986660788,7.970245747083243,10.64438699595726,0.004305868195227582,0.8975357728912797
ARHGDIB,-0.8115689857282313,6.585818152386451,10.497145825407324,0.004526477063030381,0.8975357728912797
DNAJC10,-0.8377855740127195,6.146267591794536,10.24804658999555,0.0049291479347592536,0.8975357728912797
RAB4B,-0.8371709579305424,5.544977467698994,10.240963021935595,0.004941171612148425,0.8975357728912797
CYP51A1,0.8038452017534589,7.084985084288846,9.754770385301304,0.00585074928069796,0.8975357728912797
HES1,-0.7099034863657367,7.903536599590858,9.701744233536001,0.0059608311400697785,0.8975357728912797
PLSCR1,-0.8159993652289721,6.892868554343509,9.625511525445148,0.00612318530982021,0.8975357728912797
KLK10,-1.0683920195720267,8.135284191703613,9.377693059143331,0.006686266420483933,0.8975357728912797
